Sample,δ13C,δ18O mineral,Δ47 Ghosh,Δ47 ARF,Acid digest T (°C),Temperature,Acid correction factor,Reference
aP-7/2-3,—,,,,,—,,"Ghosh, P., Vasiliev, M.V., Ghosh, P., Sarkar, S., Ghosh, S., Yamada, K., Ueno, Y., Yoshida, N., Poulsen, C.J., 2016. Tracking the migration of the Indian continent using the carbonate clumped isotope technique on Phanerozoic soil carbonates. Scientific Reports 6, 22187."
Mo-34A/5-6 ,-7.83 ,-15.63 ,,0.670 ,,34.40 ,,"Ghosh, P., Vasiliev, M.V., Ghosh, P., Sarkar, S., Ghosh, S., Yamada, K., Ueno, Y., Yoshida, N., Poulsen, C.J., 2016. Tracking the migration of the Indian continent using the carbonate clumped isotope technique on Phanerozoic soil carbonates. Scientific Reports 6, 22187."
Mo-40A/5-6 ,-7.91 ,-11.48 ,,0.680 ,,31.30 ,,"Ghosh, P., Vasiliev, M.V., Ghosh, P., Sarkar, S., Ghosh, S., Yamada, K., Ueno, Y., Yoshida, N., Poulsen, C.J., 2016. Tracking the migration of the Indian continent using the carbonate clumped isotope technique on Phanerozoic soil carbonates. Scientific Reports 6, 22187."
Mo-40B/5-6,-6.61 ,-11.36 ,,0.660 ,,35.30 ,,"Ghosh, P., Vasiliev, M.V., Ghosh, P., Sarkar, S., Ghosh, S., Yamada, K., Ueno, Y., Yoshida, N., Poulsen, C.J., 2016. Tracking the migration of the Indian continent using the carbonate clumped isotope technique on Phanerozoic soil carbonates. Scientific Reports 6, 22187."
Mo-34C/5-6,-5.04 ,-11.93 ,,0.660 ,,35.20 ,,"Ghosh, P., Vasiliev, M.V., Ghosh, P., Sarkar, S., Ghosh, S., Yamada, K., Ueno, Y., Yoshida, N., Poulsen, C.J., 2016. Tracking the migration of the Indian continent using the carbonate clumped isotope technique on Phanerozoic soil carbonates. Scientific Reports 6, 22187."
aMo-20C/5-6,—,,,,,—,,"Ghosh, P., Vasiliev, M.V., Ghosh, P., Sarkar, S., Ghosh, S., Yamada, K., Ueno, Y., Yoshida, N., Poulsen, C.J., 2016. Tracking the migration of the Indian continent using the carbonate clumped isotope technique on Phanerozoic soil carbonates. Scientific Reports 6, 22187."
aMo-34B/5-6 ,—,,,,,—,,"Ghosh, P., Vasiliev, M.V., Ghosh, P., Sarkar, S., Ghosh, S., Yamada, K., Ueno, Y., Yoshida, N., Poulsen, C.J., 2016. Tracking the migration of the Indian continent using the carbonate clumped isotope technique on Phanerozoic soil carbonates. Scientific Reports 6, 22187."
Elq13-400-70,-7.59 ,-3.18 ,NA,0.649 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-400-70,-7.41 ,-3.23 ,NA,0.589 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-400-95,-8.50 ,-3.47 ,NA,0.661 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-400-95,-8.53 ,-3.54 ,NA,0.615 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-400-95,-8.65 ,-3.30 ,NA,0.600 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-400-95,-8.62 ,-3.26 ,NA,0.642 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-600-50,-5.88 ,-7.61 ,NA,0.623 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-600-50,-5.89 ,-7.54 ,NA,0.602 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-600-50,-5.86 ,-7.66 ,NA,0.574 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-600-50,-5.90 ,-7.70 ,NA,0.625 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-600-50,-6.04 ,-7.31 ,NA,0.589 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-850-50,-3.11 ,-6.28 ,NA,0.651 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-850-50,-3.08 ,-6.25 ,NA,0.569 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-850-50,-3.03 ,-6.22 ,NA,0.598 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-850-50,-3.08 ,-6.38 ,NA,0.650 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-850-50,-3.04 ,-6.32 ,NA,0.641 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-850-50,-2.98 ,-6.51 ,NA,0.623 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-850-50,-2.95 ,-6.59 ,NA,0.608 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-1300-60,-3.58 ,-9.89 ,NA,0.594 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-1300-60,-3.59 ,-9.77 ,NA,0.629 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-1300-60,-3.47 ,-9.80 ,NA,0.646 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-1300-60,-3.55 ,-9.80 ,NA,0.643 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-1300-60,-3.53 ,-9.72 ,NA,0.595 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-1300-60,-3.67 ,-9.66 ,NA,0.616 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-1300-80,-2.78 ,-10.42 ,NA,0.601 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-1300-80,-2.73 ,-10.48 ,NA,0.591 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-1300-80,-2.83 ,-10.56 ,NA,0.639 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-1300-80,-2.80 ,-10.39 ,NA,0.607 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-1300-100,-3.15 ,-10.66 ,NA,0.592 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-1300-100,-3.16 ,-10.66 ,NA,0.599 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-1300-100,-3.25 ,-10.71 ,NA,0.607 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-1300-100,-3.47 ,-10.48 ,NA,0.597 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-1500-50,-0.29 ,-9.64 ,NA,0.623 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-1500-50,-0.23 ,-9.68 ,NA,0.572 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-1500-50,-0.26 ,-9.69 ,NA,0.630 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-1500-50,-0.30 ,-9.67 ,NA,0.585 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-1500-50,-0.33 ,-9.52 ,NA,0.598 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-1500-50,-0.21 ,-9.86 ,NA,0.626 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-1700-50,-3.39 ,-11.52 ,NA,0.605 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-1700-50,-3.31 ,-11.80 ,NA,0.613 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-1700-50,-3.19 ,-11.76 ,NA,0.626 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-1700-50,-3.36 ,-11.82 ,NA,0.614 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-1924-60,-0.56 ,-10.26 ,NA,0.613 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-1924-60,-0.58 ,-10.24 ,NA,0.596 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-1924-60,-0.52 ,-10.30 ,NA,0.621 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-1924-60,-0.57 ,-10.21 ,NA,0.607 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-1924-60,-0.61 ,-10.20 ,NA,0.607 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-1924-80,-1.57 ,-10.74 ,NA,0.596 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-1924-80,-1.51 ,-10.72 ,NA,0.575 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-1924-80,-1.58 ,-10.67 ,NA,0.610 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-1924-80,-1.61 ,-10.41 ,NA,0.607 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-1924-80,-1.57 ,-10.60 ,NA,0.585 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-1924-100,-2.24 ,-10.99 ,NA,0.605 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-1924-100,-2.21 ,-11.21 ,NA,0.582 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-1924-100,-2.25 ,-11.12 ,NA,0.601 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
Elq13-1924-100,-2.27 ,-10.96 ,NA,0.585 ,90,,0.082,"Burgener, L., Huntington, K.W., Hoke, G.D., Schauer, A., Ringham, M.C., Latorre, C., Díaz, F.P., 2016. Variations in soil carbonate formation and seasonal bias over >4 km of relief in the western Andes (30°S) revealed by clumped isotope thermometry. Earth and Planetary Science Letters 441, 188-199."
LY-06,-2.01 ,-10.24 ,,0.529 ,90,,0.082,"Zhang, L.M., Wang, C.S., Cao, K., Wang, Q., Tan, J., Gao, Y., 2016. High elevation of Jiaolai Basin during the Late Cretaceous: Implication for the coastal mountains along the East Asian margin. Earth and Planetary Science Letters 456, 112-123."
LY-19,0.10 ,-7.07 ,,0.497 ,90,,0.082,"Zhang, L.M., Wang, C.S., Cao, K., Wang, Q., Tan, J., Gao, Y., 2016. High elevation of Jiaolai Basin during the Late Cretaceous: Implication for the coastal mountains along the East Asian margin. Earth and Planetary Science Letters 456, 112-123."
SD-20,-1.06 ,-2.32 ,,0.498 ,90,,0.082,"Zhang, L.M., Wang, C.S., Cao, K., Wang, Q., Tan, J., Gao, Y., 2016. High elevation of Jiaolai Basin during the Late Cretaceous: Implication for the coastal mountains along the East Asian margin. Earth and Planetary Science Letters 456, 112-123."
SD-25,-2.43 ,-8.16 ,,0.551 ,90,,0.082,"Zhang, L.M., Wang, C.S., Cao, K., Wang, Q., Tan, J., Gao, Y., 2016. High elevation of Jiaolai Basin during the Late Cretaceous: Implication for the coastal mountains along the East Asian margin. Earth and Planetary Science Letters 456, 112-123."
SD-25,-2.42 ,-8.14 ,,0.584 ,90,,0.082,"Zhang, L.M., Wang, C.S., Cao, K., Wang, Q., Tan, J., Gao, Y., 2016. High elevation of Jiaolai Basin during the Late Cretaceous: Implication for the coastal mountains along the East Asian margin. Earth and Planetary Science Letters 456, 112-123."
SD-35,-3.48 ,-7.30 ,,0.653 ,90,,0.082,"Zhang, L.M., Wang, C.S., Cao, K., Wang, Q., Tan, J., Gao, Y., 2016. High elevation of Jiaolai Basin during the Late Cretaceous: Implication for the coastal mountains along the East Asian margin. Earth and Planetary Science Letters 456, 112-123."
SD-35,-3.46 ,-7.33 ,,0.624 ,90,,0.082,"Zhang, L.M., Wang, C.S., Cao, K., Wang, Q., Tan, J., Gao, Y., 2016. High elevation of Jiaolai Basin during the Late Cretaceous: Implication for the coastal mountains along the East Asian margin. Earth and Planetary Science Letters 456, 112-123."
SD-38,-2.40 ,-17.42 ,,0.452 ,90,,0.082,"Zhang, L.M., Wang, C.S., Cao, K., Wang, Q., Tan, J., Gao, Y., 2016. High elevation of Jiaolai Basin during the Late Cretaceous: Implication for the coastal mountains along the East Asian margin. Earth and Planetary Science Letters 456, 112-123."
SD-39,-1.79 ,-18.80 ,,0.427 ,90,,0.082,"Zhang, L.M., Wang, C.S., Cao, K., Wang, Q., Tan, J., Gao, Y., 2016. High elevation of Jiaolai Basin during the Late Cretaceous: Implication for the coastal mountains along the East Asian margin. Earth and Planetary Science Letters 456, 112-123."
JH-01b,-4.66 ,-6.56 ,,0.614 ,90,,0.082,"Zhang, L.M., Wang, C.S., Cao, K., Wang, Q., Tan, J., Gao, Y., 2016. High elevation of Jiaolai Basin during the Late Cretaceous: Implication for the coastal mountains along the East Asian margin. Earth and Planetary Science Letters 456, 112-123."
JH-01b,-4.69 ,-6.63 ,,0.632 ,90,,0.082,"Zhang, L.M., Wang, C.S., Cao, K., Wang, Q., Tan, J., Gao, Y., 2016. High elevation of Jiaolai Basin during the Late Cretaceous: Implication for the coastal mountains along the East Asian margin. Earth and Planetary Science Letters 456, 112-123."
JH-01b,-4.73 ,-6.61 ,,0.617 ,90,,0.082,"Zhang, L.M., Wang, C.S., Cao, K., Wang, Q., Tan, J., Gao, Y., 2016. High elevation of Jiaolai Basin during the Late Cretaceous: Implication for the coastal mountains along the East Asian margin. Earth and Planetary Science Letters 456, 112-123."
JH-01c,-4.64 ,-6.61 ,,0.644 ,90,,0.082,"Zhang, L.M., Wang, C.S., Cao, K., Wang, Q., Tan, J., Gao, Y., 2016. High elevation of Jiaolai Basin during the Late Cretaceous: Implication for the coastal mountains along the East Asian margin. Earth and Planetary Science Letters 456, 112-123."
JH-01c,-4.63 ,-6.57 ,,0.610 ,90,,0.082,"Zhang, L.M., Wang, C.S., Cao, K., Wang, Q., Tan, J., Gao, Y., 2016. High elevation of Jiaolai Basin during the Late Cretaceous: Implication for the coastal mountains along the East Asian margin. Earth and Planetary Science Letters 456, 112-123."
JH-01c,-4.58 ,-6.65 ,,0.606 ,90,,0.082,"Zhang, L.M., Wang, C.S., Cao, K., Wang, Q., Tan, J., Gao, Y., 2016. High elevation of Jiaolai Basin during the Late Cretaceous: Implication for the coastal mountains along the East Asian margin. Earth and Planetary Science Letters 456, 112-123."
JH-02c,-6.09 ,-6.94 ,,0.628 ,90,,0.082,"Zhang, L.M., Wang, C.S., Cao, K., Wang, Q., Tan, J., Gao, Y., 2016. High elevation of Jiaolai Basin during the Late Cretaceous: Implication for the coastal mountains along the East Asian margin. Earth and Planetary Science Letters 456, 112-123."
JH-02c,-6.09 ,-6.86 ,,0.633 ,90,,0.082,"Zhang, L.M., Wang, C.S., Cao, K., Wang, Q., Tan, J., Gao, Y., 2016. High elevation of Jiaolai Basin during the Late Cretaceous: Implication for the coastal mountains along the East Asian margin. Earth and Planetary Science Letters 456, 112-123."
JH-06b,-5.30 ,-8.44 ,,0.584 ,90,,0.082,"Zhang, L.M., Wang, C.S., Cao, K., Wang, Q., Tan, J., Gao, Y., 2016. High elevation of Jiaolai Basin during the Late Cretaceous: Implication for the coastal mountains along the East Asian margin. Earth and Planetary Science Letters 456, 112-123."
JH-06b,-5.20 ,-8.58 ,,0.601 ,90,,0.082,"Zhang, L.M., Wang, C.S., Cao, K., Wang, Q., Tan, J., Gao, Y., 2016. High elevation of Jiaolai Basin during the Late Cretaceous: Implication for the coastal mountains along the East Asian margin. Earth and Planetary Science Letters 456, 112-123."
