Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Zhai, Guangtao; Zhou, Jun; Yang, Hua; An, Ping; Yang, Xiaokang; ","Digital TV and Wireless Multimedia Communications: 18th International Forum, IFTC 2021, Shanghai, China, December 3–4, 2021, Revised Selected Papers",,,,,2022,Springer Nature
"Gray, Rob Recipient; Bebbington, Jan Recipient; Mcphail, Kenneth Recipient; ",Best Paper Award,,,,,2001,
"Zhu, Dandan; Shao, Xuan; Zhang, Kaiwei; Min, Xiongkuo; Zhai, Guangtao; Yang, Xiaokang; ",Audio-visual aligned saliency model for omnidirectional video with implicit neural representation learning,Applied Intelligence,53,19,22615-22634,2023,Springer Nature BV
"Wang, Jiarui; Duan, Huiyu; Liu, Jing; Chen, Shi; Min, Xiongkuo; Zhai, Guangtao; ","AIGCIQA2023: A large-scale image quality assessment database for ai generated images: from the perspectives of quality, authenticity and correspondence",CAAI International Conference on Artificial Intelligence,,,46-57,2023,Springer Nature Singapore
"Zhang, Zicheng; Sun, Wei; Zhou, Yingjie; Wu, Haoning; Li, Chunyi; Min, Xiongkuo; Liu, Xiaohong; Zhai, Guangtao; Lin, Weisi; ",Advancing zero-shot digital human quality assessment through text-prompted evaluation,IEEE Transactions on Image Processing,,,,2025,IEEE
"Cao, Yuqin; Min, Xiongkuo; Sun, Wei; Zhai, Guangtao; ",Subjective and objective audio-visual quality assessment for user generated content,IEEE Transactions on Image Processing,32,,3847-3861,2023,IEEE
"Wang, Hongkui; Yu, Li; Yang, Hailang; Xu, Haifeng; Yin, Haibing; Zhai, Guangtao; Li, Tianzong; Kuang, Zhuo; ",Surprise-based JND estimation for perceptual quantization in H. 265/HEVC codecs,Signal Processing: Image Communication,118,,117019,2023,Elsevier
"Gao, Yixuan; Min, Xiongkuo; Zhu, Yucheng; Zhang, Xiao-Ping; Zhai, Guangtao; ",Blind image quality assessment: A fuzzy neural network for opinion score distribution prediction,IEEE Transactions on Circuits and Systems for Video Technology,34,3,1641-1655,2023,IEEE
"Sun, Yinan; Min, Xiongkuo; Duan, Huiyu; Zhai, Guangtao; ",The influence of text-guidance on visual attention,2023 IEEE International Symposium on Circuits and Systems (ISCAS),,,1-5,2023,IEEE
"Zhu, Xilei; Duan, Huiyu; Cao, Yuqin; Zhu, Yuxin; Zhu, Yucheng; Liu, Jing; Chen, Li; Min, Xiongkuo; Zhai, Guangtao; ",Perceptual quality assessment of omnidirectional audio-visual signals,CAAI International Conference on Artificial Intelligence,,,512-525,2023,Springer Nature Singapore Singapore
"Sun, Wei; Wen, Wen; Min, Xiongkuo; Lan, Long; Zhai, Guangtao; Ma, Kede; ",Analysis of video quality datasets via design of minimalistic video quality models,IEEE Transactions on Pattern Analysis and Machine Intelligence,46,11,7056-7071,2024,IEEE
"Fu, Kang; Liu, Xiaohong; Jia, Jun; Zhang, Zicheng; Peng, Yicong; Wang, Jia; ",Rawiw: Raw image watermarking robust to isp pipeline,Displays,82,,102637,2024,Elsevier
"Liu, Yutao; Gu, Ke; Cao, Jingchao; Wang, Shiqi; Zhai, Guangtao; Dong, Junyu; Kwong, Sam; ",UIQI: A comprehensive quality evaluation index for underwater images,IEEE Transactions on Multimedia,26,,2560-2573,2023,IEEE
"Lu, Fangfang; Zhang, Zhihao; Liu, Tianxiang; Tang, Chi; Bai, Hualin; Zhai, Guangtao; Chen, Jingjing; Wu, Xiaoxin; ",A weakly supervised inpainting-based learning method for lung CT image segmentation,Pattern Recognition,144,,109861,2023,Pergamon
"Kou, Tengchuan; Liu, Xiaohong; Sun, Wei; Jia, Jun; Min, Xiongkuo; Zhai, Guangtao; Liu, Ning; ",StableVQA: A Deep No-Reference Quality Assessment Model for Video Stability,Proceedings of the 31st ACM International Conference on Multimedia,,,1066-1076,2023,
"Zhang, Kaiwei; Zhu, Dandan; Min, Xiongkuo; Gao, Zhongpai; Zhai, Guangtao; ",Synergetic assessment of quality and aesthetic: Approach and comprehensive benchmark dataset,IEEE Transactions on Circuits and Systems for Video Technology,34,4,2536-2549,2023,IEEE
"Zhao, Bailiang; Wang, Yan; Hu, Menghan; Wu, Yue; Liu, Jiannan; Li, Qingli; Dai, Min; Sun, Wendell Q; Zhai, Guangtao; ",Auxiliary diagnosis of papillary thyroid carcinoma based on spectral phenotype,Phenomics,3,5,469-484,2023,Springer Nature Singapore Singapore
"Tu, Danyang; Sun, Wei; Zhai, Guangtao; Shen, Wei; ",Agglomerative transformer for human-object interaction detection,Proceedings of the IEEE/CVF international conference on computer vision,,,21614-21624,2023,
"Hua, Chunjun; Wu, Yue; Shi, Yiqiao; Hu, Menghan; Xie, Rong; Zhai, Guangtao; Zhang, Xiao-Ping; ",Steganography for medical record image,Computers in Biology and Medicine,165,,107344,2023,Pergamon
"Lu, Wei; Sun, Wei; Zhang, Zicheng; Tu, Danyang; Min, Xiongkuo; Zhai, Guangtao; ",BH-VQA: blind high frame rate video quality assessment,2023 IEEE International Conference on Multimedia and Expo (ICME),,,2501-2506,2023,IEEE
"Wu, Guangyang; Liu, Xiaohong; Luo, Kunming; Liu, Xi; Zheng, Qingqing; Liu, Shuaicheng; Jiang, Xinyang; Zhai, Guangtao; Wang, Wenyi; ",Accflow: Backward accumulation for long-range optical flow,Proceedings of the IEEE/CVF International Conference on Computer Vision,,,12119-12128,2023,
"Tu, Danyang; Shen, Wei; Sun, Wei; Min, Xiongkuo; Zhai, Guangtao; ",Joint gaze-location and gaze-object detection,arXiv preprint arXiv:2308.13857,,,,2023,
"Wang, Zesheng; Wu, Wei; Yuan, Liang; Sun, Wei; Chen, Ying; Li, Kai; Zhai, Guangtao; ",Hierarchical feature fusion transformer for no-reference image quality assessment,2023 IEEE International Conference on Image Processing (ICIP),,,2205-2209,2023,IEEE
"Zhang, Zicheng; Zhou, Yingjie; Sun, Wei; Min, Xiongkuo; Zhai, Guangtao; ",Geometry-aware video quality assessment for dynamic digital human,2023 IEEE International Conference on Image Processing (ICIP),,,1365-1369,2023,IEEE
"Zhou, Yingjie; Zhang, Zicheng; Sun, Wei; Min, Xiongkuo; Ma, Xianghe; Zhai, Guangtao; ",A no-reference quality assessment method for digital human head,2023 IEEE International Conference on Image Processing (ICIP),,,36-40,2023,IEEE
"Wu, Haoning; Zhang, Zicheng; Zhang, Erli; Chen, Chaofeng; Liao, Liang; Wang, Annan; Li, Chunyi; Sun, Wenxiu; Yan, Qiong; Zhai, Guangtao; ",Q-bench: A benchmark for general-purpose foundation models on low-level vision,arXiv preprint arXiv:2309.14181,,,,2023,
"Tu, Danyang; Shen, Wei; Sun, Wei; Min, Xiongkuo; Zhai, Guangtao; Chen, Changwen; ",Un-Gaze: A unified transformer for joint gaze-location and gaze-object detection,IEEE Transactions on Circuits and Systems for Video Technology,34,5,3271-3285,2023,IEEE
"Tian, Yuan; Lu, Guo; Zhai, Guangtao; Gao, Zhiyong; ",Non-semantics suppressed mask learning for unsupervised video semantic compression,Proceedings of the IEEE/CVF International Conference on Computer Vision,,,13610-13622,2023,
"Fan, Yu; Zhang, Zicheng; Sun, Wei; Min, Xiongkuo; Lin, Jiaman; Zhai, Guangtao; Liu, Ning; ",MV-VVQA: Multi-view learning for no-reference volumetric video quality assessment,2023 31st European signal processing conference (EUSIPCO),,,670-674,2023,IEEE
"Zhang, Zicheng; Zhou, Yingjie; Sun, Wei; Min, Xiongkuo; Zhai, Guangtao; ",Simple baselines for projection-based full-reference and no-reference point cloud quality assessment,arXiv preprint arXiv:2310.17147,,,,2023,
"Zhu, Yuxin; Zhu, Xilei; Duan, Huiyu; Li, Jie; Zhang, Kaiwei; Zhu, Yucheng; Chen, Li; Min, Xiongkuo; Zhai, Guangtao; ",Audio-visual saliency for omnidirectional videos,International Conference on Image and Graphics,,,365-378,2023,Springer Nature Switzerland Cham
"Jiannan, LIU; Zhai, Guangtao; Zhang, Chenping; Zhang, Zhiyuan; ",Intelligent mouth opening rehabilitation device,,,,,2023,"US Patent App. 18/027,637"
"Wu, Haoning; Zhang, Zicheng; Zhang, Erli; Chen, Chaofeng; Liao, Liang; Wang, Annan; Xu, Kaixin; Li, Chunyi; Hou, Jingwen; Zhai, Guangtao; ",Q-Instruct: Improving Low-level Visual Abilities for Multi-modality Foundation Models,arXiv preprint arXiv:2311.06783,,,,2023,
"Chen, Chaofeng; Liao, Liang; Wang, Annan; Xu, Kaixin; Li, Chunyi; Hou, Jingwen; Zhai, Guangtao; Xue, Geng; Sun, Wenxiu; Yan, Qiong; ",Q-Instruct,,,,,,
"Chen, Zijian; Sun, Wei; Jia, Jun; Lu, Fangfang; Zhang, Zicheng; Liu, Jing; Huang, Ru; Min, Xiongkuo; Zhai, Guangtao; ",Band-2k: Banding artifact noticeable database for banding detection and quality assessment,IEEE Transactions on Circuits and Systems for Video Technology,34,7,6347-6362,2024,IEEE
"Chen, Zijian; Sun, Wei; Zhang, Zicheng; Huang, Ru; Lu, Fangfang; Min, Xiongkuo; Zhai, Guangtao; Zhang, Wenjun; ",FS-BAND: A frequency-sensitive banding detector,2024 IEEE International Symposium on Circuits and Systems (ISCAS),,,1-5,2024,IEEE
"Wu, Sijing; Li, Yunhao; Zhang, Weitian; Jia, Jun; Zhu, Yucheng; Yan, Yichao; Zhai, Guangtao; Yang, Xiaokang; ",Singinghead: A large-scale 4D dataset for singing head animation,IEEE Transactions on Multimedia,,,,2025,IEEE
"Chen, Zijian; Sun, Wei; Wu, Haoning; Zhang, Zicheng; Jia, Jun; Ji, Zhongpeng; Sun, Fengyu; Jui, Shangling; Min, Xiongkuo; Zhai, Guangtao; ",Exploring the naturalness of ai-generated images,arXiv preprint arXiv:2312.05476,,,,2023,
"Zhang, Zicheng; Sun, Wei; Zhu, Yucheng; Min, Xiongkuo; Wu, Wei; Chen, Ying; Zhai, Guangtao; ",Evaluating point cloud from moving camera videos: A no-reference metric,IEEE Transactions on Multimedia,,,,2023,IEEE
"Zhang, Zicheng; Wu, Haoning; Ji, Zhongpeng; Li, Chunyi; Zhang, Erli; Sun, Wei; Liu, Xiaohong; Min, Xiongkuo; Sun, Fengyu; Jui, Shangling; ",Q-boost: On visual quality assessment ability of low-level multi-modality foundation models,2024 IEEE International Conference on Multimedia and Expo Workshops (ICMEW),,,1-6,2024,IEEE
"Han, Jinliang; Min, Xiongkuo; Gao, Yixuan; Jia, Jun; Sun, Lei; Cao, Zuowei; Luo, Yonglin; Zhai, Guangtao; ",Perceptual quality assessment for video frame interpolation,2023 IEEE International Conference on Visual Communications and Image Processing (VCIP),,,1-5,2023,IEEE
"Wu, Haoning; Zhang, Zicheng; Zhang, Weixia; Chen, Chaofeng; Liao, Liang; Li, Chunyi; Gao, Yixuan; Wang, Annan; Zhang, Erli; Sun, Wenxiu; ",Q-Align: Teaching lmms for visual scoring via discrete text-defined levels,ICML 2024,,,,2024,
"Li, Chunyi; Wu, Haoning; Zhang, Zicheng; Hao, Hongkun; Zhang, Kaiwei; Bai, Lei; Liu, Xiaohong; Min, Xiongkuo; Lin, Weisi; Zhai, Guangtao; ",Q-Refine: A perceptual quality refiner for ai-generated image,2024 IEEE International Conference on Multimedia and Expo (ICME),,,1-6,2024,IEEE
"Chetouani, A; Bosse, S; Le Callet, P; Farias, M; Ballé, J; Li, J; Duan, H; Min, X; Sun, W; Zhu, Y; ",ISSUE ON LEARNING-BASED QUALITY PREDICTION FOR ADVANCED VISUAL MEDIA,,,,,,
"Fu, Kang; Peng, Yicong; Zhang, Zicheng; Xu, Qihang; Liu, Xiaohong; Wang, Jia; Zhai, Guangtao; ",Attentionlut: Attention fusion-based canonical polyadic lut for real-time image enhancement,"ICASSP 2024-2024 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,,3255-3259,2024,IEEE
"Zhang, Zicheng; Zhou, Yingjie; Teng, Long; Sun, Wei; Li, Chunyi; Min, Xiongkuo; Zhang, Xiao-Ping; Zhai, Guangtao; ",Quality-of-experience evaluation for digital twins in 6g network environments,IEEE Transactions on Broadcasting,70,3,995-1007,2024,IEEE
"Duan, Huiyu; Zhu, Xilei; Zhu, Yuxin; Min, Xiongkuo; Zhai, Guangtao; ",A quick review of human perception in immersive media,IEEE Open Journal on Immersive Displays,1,,41-50,2024,IEEE
"Yang, Kuo; Li, Duo; Hu, Menghan; Zhai, Guangtao; Yang, Xiaokang; Zhang, Xiao-Ping; ",Uncertainty-aware sampling for long-tailed semi-supervised learning,arXiv preprint arXiv:2401.04435,,,,2024,
"Li, Yifei; Liu, Xiaohong; Peng, Yicong; Zhai, Guangtao; Zhou, Jun; ",Resolution-Agnostic Neural Compression for High-Fidelity Portrait Video Conferencing via Implicit Radiance Fields,International Forum on Digital TV and Wireless Multimedia Communications,,,126-141,2023,Springer Nature Singapore Singapore
"Zhang, Yiming; Min, Xiongkuo; Zhai, Guangtao; ",Split-conv: a resource-efficient compression method for image quality assessment models,2023 IEEE International Conference on Visual Communications and Image Processing (VCIP),,,1-5,2023,IEEE
"Zhou, Min; Wang, Jiaqi; Shi, Jiahao; Zhai, Guangtao; Zhou, Xiaowen; Ye, Lulu; Li, Lunhao; Hu, Menghan; Zhou, Yixiong; ",Prediction model of radiotherapy outcome for Ocular Adnexal Lymphoma using informative features selected by chemometric algorithms,Computers in Biology and Medicine,170,,108067,2024,Pergamon
"Jiang, Wenhao; Li, Duo; Hu, Menghan; Zhai, Guangtao; Yang, Xiaokang; Zhang, Xiao-Ping; ",Few-shot class-incremental learning with prior knowledge,arXiv preprint arXiv:2402.01201,,,,2024,
"Min, Xiongkuo; Duan, Huiyu; Sun, Wei; Zhu, Yucheng; Zhai, Guangtao; ",Perceptual video quality assessment: A survey,Science China Information Sciences,67,11,211301,2024,Science China Press Beijing
"Zhu, Dandan; Zhu, Kun; Ding, Weiping; Zhang, Nana; Min, Xiongkuo; Zhai, Guangtao; Yang, Xiaokang; ",MTCAM: a novel weakly-supervised audio-visual saliency prediction model with multi-modal transformer,IEEE Transactions on Emerging Topics in Computational Intelligence,8,2,1756-1771,2024,IEEE
"Zhang, Zicheng; Wu, Haoning; Zhang, Erli; Zhai, Guangtao; Lin, Weisi; ",Q-bench: A benchmark for multi-modal foundation models on low-level vision from single images to pairs,IEEE Transactions on Pattern Analysis and Machine Intelligence,,,,2024,IEEE
"Tian, Yuan; Lu, Guo; Yan, Yichao; Zhai, Guangtao; Chen, Li; Gao, Zhiyong; ",A coding framework and benchmark towards low-bitrate video understanding,IEEE Transactions on Pattern Analysis and Machine Intelligence,46,8,5852-5872,2024,IEEE
"ZHOU, Yingjie; ZHANG, Zicheng; SUN, Wei; MIN, Xiongkuo; ZHAI, Guangtao; ",Perceptual Quality Assessment for Point Clouds Point Clouds: A Survey,ZTE COMMUNICATIONS,21,4,,2023,
"Wu, Haoning; Zhu, Hanwei; Zhang, Zicheng; Zhang, Erli; Chen, Chaofeng; Liao, Liang; Li, Chunyi; Wang, Annan; Sun, Wenxiu; Yan, Qiong; ",Towards open-ended visual quality comparison,European Conference on Computer Vision,,,360-377,2024,"Springer, Cham"
"Li, Chunyi; Lu, Guo; Feng, Donghui; Wu, Haoning; Zhang, Zicheng; Liu, Xiaohong; Zhai, Guangtao; Lin, Weisi; Zhang, Wenjun; ",MISC: Ultra-low bitrate image semantic compression driven by large multimodal model,IEEE Transactions on Image Processing,,,,2024,IEEE
"Liu, Zijia; Han, Jing; Liu, Jiannan; Li, Zhi-Cheng; Zhai, Guangtao; ",Neighborhood evaluator for efficient super-resolution reconstruction of 2D medical images,Computers in Biology and Medicine,171,,108212,2024,Pergamon
"Liu, Yutao; Zhang, Baochao; Hu, Runze; Gu, Ke; Zhai, Guangtao; Dong, Junyu; ",Underwater image quality assessment: Benchmark database and objective method,IEEE Transactions on Multimedia,26,,7734-7747,2024,IEEE
"Zhang, Weixia; Li, Dingquan; Zhai, Guangtao; Yang, Xiaokang; Ma, Kede; ",When no-reference image quality models meet map estimation in diffusion latents,arXiv preprint arXiv:2403.06406,,,,2024,
"Zhang, Weixia; Zhu, Chengguang; Gao, Jingnan; Yan, Yichao; Zhai, Guangtao; Yang, Xiaokang; ",A comparative study of perceptual quality metrics for audio-driven talking head videos,2024 IEEE International Conference on Image Processing (ICIP),,,1218-1224,2024,IEEE
"Wu, Guangyang; Liu, Xiaohong; Jia, Jun; Cui, Xuehao; Zhai, Guangtao; ",Text2QR: Harmonizing aesthetic customization and scanning robustness for text-guided qr code generation,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,8456-8465,2024,
"Kou, Tengchuan; Liu, Xiaohong; Zhang, Zicheng; Li, Chunyi; Wu, Haoning; Min, Xiongkuo; Zhai, Guangtao; Liu, Ning; ",Subjective-aligned dataset and metric for text-to-video quality assessment,Proceedings of the 32nd ACM International Conference on Multimedia,,,7793-7802,2024,
"Wu, Hao; Wang, Zilin; Han, Jing; Wu, Tianchi; Zhai, Guangtao; Zhang, Chenping; Liu, Jiannan; ",Developing and validating an intelligent mouth-opening training device: a new solution for restricted mouth opening,Sensors,24,6,1988,2024,MDPI
"Pei, Gan; Zhang, Jiangning; Hu, Menghan; Zhang, Zhenyu; Wang, Chengjie; Wu, Yunsheng; Zhai, Guangtao; Yang, Jian; Shen, Chunhua; Tao, Dacheng; ",Deepfake generation and detection: A benchmark and survey,arXiv preprint arXiv:2403.17881,,,,2024,
"Zhang, Zicheng; Zhou, Yingjie; Li, Chunyi; Fu, Kang; Sun, Wei; Liu, Xiaohong; Min, Xiongkuo; Zhai, Guangtao; ",A reduced-reference quality assessment metric for textured mesh digital humans,"ICASSP 2024-2024 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,,2965-2969,2024,IEEE
"Yang, Liu; Duan, Huiyu; Teng, Long; Zhu, Yucheng; Liu, Xiaohong; Hu, Menghan; Min, Xiongkuo; Zhai, Guangtao; Callet, Patrick Le; ",AIGCOIQA2024: Perceptual Quality Assessment of AI Generated Omnidirectional Images,arXiv preprint arXiv:2404.01024,,,,2024,
"Li, Chunyi; Kou, Tengchuan; Gao, Yixuan; Cao, Yuqin; Sun, Wei; Zhang, Zicheng; Zhou, Yingjie; Zhang, Zhichao; Zhang, Weixia; Wu, Haoning; ",AIGIQA-20K: A Large Database for AI-Generated Image Quality Assessment,arXiv preprint arXiv:2404.03407,,,,2024,
"Liu, Zijia; Qi, Quan; Wang, Sijia; Zhai, Guangtao; ","A novel approach to the detection of facial wrinkles: Database, detection algorithm, and evaluation metrics",Computers in Biology and Medicine,174,,108431,2024,Pergamon
"Yu, Jiaqi; Yang, Jinhai; Yang, Hua; Pan, Renjie; Lai, Pingrui; Zhai, Guangtao; ",Psychology-guided environment aware network for discovering social interaction groups from videos,"ACM Transactions on Multimedia Computing, Communications and Applications",20,8,1-23,2024,"ACM New York, NY"
"Xue, Xiaojuan; Zhang, Deshiwei; Sun, Chengyang; Shi, Yiqiao; Wang, Rongsheng; Tan, Tao; Gao, Peng; Fan, Sujie; Zhai, Guangtao; Hu, Menghan; ",Xiaoqing: a Q&A model for glaucoma based on LLMs,Computers in Biology and Medicine,174,,108399,2024,Pergamon
"Sun, Yinan; Min, Xiongkuo; Duan, Huiyu; Zhai, Guangtao; ",How is visual attention influenced by text guidance? database and model,IEEE Transactions on Image Processing,,,,2024,IEEE
"Zhou, Yingjie; Zhang, Zicheng; Sun, Wei; Liu, Xiaohong; Min, Xiongkuo; Wang, Zhihua; Zhang, Xiao-Ping; Zhai, Guangtao; ",THQA: A perceptual quality assessment database for talking heads,2024 IEEE International Conference on Image Processing (ICIP),,,15-21,2024,IEEE
"Zhu, Dandan; Zhang, Kaiwei; Zhu, Kun; Zhang, Nana; Ding, Weiping; Zhai, Guangtao; Yang, Xiaokang; ",From Discrete Representation to Continuous Modeling: A Novel Audio-Visual Saliency Prediction Model With Implicit Neural Representations,IEEE Transactions on Emerging Topics in Computational Intelligence,8,6,4059-4074,2024,IEEE
"Li, Xin; Yuan, Kun; Pei, Yajing; Lu, Yiting; Sun, Ming; Zhou, Chao; Chen, Zhibo; Timofte, Radu; Sun, Wei; Wu, Haoning; ",NTIRE 2024 challenge on short-form UGC video quality assessment: Methods and results,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,6415-6431,2024,
"Wang, Zesheng; Yuan, Liang; Zhai, Guangtao; ",Channel attention for no-reference image quality assessment in DCT domain,IEEE Signal Processing Letters,31,,1274-1278,2024,IEEE
"Conde, Marcos V; Zadtootaghaj, Saman; Barman, Nabajeet; Timofte, Radu; He, Chenlong; Zheng, Qi; Zhu, Ruoxi; Tu, Zhengzhong; Wang, Haiqiang; Chen, Xiangguang; ",AIS 2024 challenge on video quality assessment of user-generated content: Methods and results,Proceedings of the IEEE/CVF conference on computer vision and pattern recognition,,,5826-5837,2024,
"Liu, Xiaohong; Min, Xiongkuo; Zhai, Guangtao; Li, Chunyi; Kou, Tengchuan; Sun, Wei; Wu, Haoning; Gao, Yixuan; Cao, Yuqin; Zhang, Zicheng; ",NTIRE 2024 quality assessment of AI-generated content challenge,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,6337-6362,2024,
"Li, Chunyi; Wu, Haoning; Hao, Hongkun; Zhang, Zicheng; Kou, Tengchuan; Chen, Chaofeng; Bai, Lei; Liu, Xiaohong; Lin, Weisi; Zhai, Guangtao; ",G-Refine: A general quality refiner for text-to-image generation,Proceedings of the 32nd ACM International Conference on Multimedia,,,7375-7384,2024,
"Wang, Puyi; Sun, Wei; Zhang, Zicheng; Jia, Jun; Jiang, Yanwei; Zhang, Zhichao; Min, Xiongkuo; Zhai, Guangtao; ",Large multi-modality model assisted ai-generated image quality assessment,Proceedings of the 32nd ACM International Conference on Multimedia,,,7803-7812,2024,
"Zhang, Zicheng; Wu, Haoning; Zhou, Yingjie; Li, Chunyi; Sun, Wei; Chen, Chaofeng; Min, Xiongkuo; Liu, Xiaohong; Lin, Weisi; Zhai, Guangtao; ",LMM-PCQA: Assisting point cloud quality assessment with LMM,Proceedings of the 32nd ACM International Conference on Multimedia,,,7783-7792,2024,
"Zhang, Yiming; Hu, Ying; Min, Xiongkuo; Zhou, Yan; Zhai, Guangtao; ",FMRI exploration of visual quality assessment,arXiv preprint arXiv:2404.18162,,,,2024,
"Xun, Siyi; Li, Qiaoyu; Liu, Xiaohong; Huang, Pu; Zhai, Guangtao; Sun, Yue; Wu, Mingxiang; Tan, Tao; ",Charting the path forward: CT image quality assessment-an in-depth review,Journal of King Saud University Computer and Information Sciences,37,5,1-24,2025,Springer International Publishing
"Zhou, Xunchu; Liu, Xiaohong; Dong, Yunlong; Kou, Tengchuan; Gao, Yixuan; Zhang, Zicheng; Li, Chunyi; Wu, Haoning; Zhai, Guangtao; ",Light-VQA+: A video quality assessment model for exposure correction with vision-language guidance,arXiv preprint arXiv:2405.03333,,,,2024,
"Wang, Jiarui; Duan, Huiyu; Zhai, Guangtao; Min, Xiongkuo; ",Understanding and evaluating human preferences for ai generated images with instruction tuning,arXiv preprint arXiv:2405.07346,7,8,,2024,
"Sun, Hanchi; Liu, Xiaohong; Jiang, Xinyang; Shen, Yifei; Li, Dongsheng; Min, Xiongkuo; Zhai, Guangtao; ",Compression-Realized Deep Structural Network for Video Quality Enhancement,arXiv preprint arXiv:2405.06342,,,,2024,
"Sun, Wei; Zhang, Weixia; Jiang, Yanwei; Wu, Haoning; Zhang, Zicheng; Jia, Jun; Zhou, Yingjie; Ji, Zhongpeng; Min, Xiongkuo; Lin, Weisi; ",Dual-branch network for portrait image quality assessment,arXiv preprint arXiv:2405.08555,,,,2024,
"Sun, Wei; Cao, Linhan; Jia, Jun; Zhang, Zhichao; Zhang, Zicheng; Min, Xiongkuo; Zhai, Guangtao; ",Enhancing blind video quality assessment with rich quality-aware features,Expert Systems with Applications,,,130452,2025,Pergamon
"Teng, Jiajie; Duan, Huiyu; Zhu, Yucheng; Wu, Sijing; Zhai, Guangtao; ",Mvbind: Self-supervised music recommendation for videos via embedding space binding,2024 IEEE International Conference on Visual Communications and Image Processing (VCIP),,,1-5,2024,IEEE
"Wang, Guangcheng; Huang, Baojin; Gu, Ke; Liu, Yuchen; Liu, Hongyan; Shi, Quan; Zhai, Guangtao; Zhang, Wenjun; ",No-reference multi-level video quality assessment metric for 3D-synthesized videos,IEEE Transactions on Broadcasting,70,2,584-596,2024,IEEE
"Luo, Yan; Zhao, Muming; Sun, Jun; Zhai, Guangtao; Zhang, Chongyang; ",Consistent gt-proposal assignment for challenging pedestrian detection,IEEE Transactions on Multimedia,26,,9398-9409,2024,IEEE
"Zhu, Hanwei; Wu, Haoning; Li, Yixuan; Zhang, Zicheng; Chen, Baoliang; Zhu, Lingyu; Fang, Yuming; Zhai, Guangtao; Lin, Weisi; Wang, Shiqi; ",Adaptive image quality assessment via teaching large multimodal model to compare,Advances in Neural Information Processing Systems,37,,32611-32629,2024,
"Dong, Wei; Zhou, Han; Tian, Yuqiong; Sun, Jingke; Liu, Xiaohong; Zhai, Guangtao; Chen, Jun; ",ShadowRefiner: Towards mask-free shadow removal via fast fourier transformer,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,6208-6217,2024,
"Zhang, Zicheng; Wu, Haoning; Li, Chunyi; Zhou, Yingjie; Sun, Wei; Min, Xiongkuo; Chen, Zijian; Liu, Xiaohong; Lin, Weisi; Zhai, Guangtao; ",A-bench: Are lmms masters at evaluating ai-generated images?,arXiv preprint arXiv:2406.03070,,,,2024,
"Tian, Yuan; Ling, Xiaoyue; Geng, Cong; Hu, Qiang; Lu, Guo; Zhai, Guangtao; ",SMC++: Masked learning of unsupervised video semantic compression,IEEE Transactions on Pattern Analysis and Machine Intelligence,,,,2025,IEEE
"Chen, Zijian; Sun, Wei; Tian, Yuan; Jia, Jun; Zhang, Zicheng; Jiarui, Wang; Huang, Ru; Min, Xiongkuo; Zhai, Guangtao; Zhang, Wenjun; ",GAIA: Rethinking action quality assessment for ai-generated videos,Advances in Neural Information Processing Systems,37,,40111-40144,2024,
"Dong, Wei; Zhou, Han; Wang, Ruiyi; Liu, Xiaohong; Zhai, Guangtao; Chen, Jun; ",Dehazedct: Towards effective non-homogeneous dehazing via deformable convolutional transformer,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,6405-6414,2024,
"Zhang, Zicheng; Fan, Yu; Sun, Wei; Min, Xiongkuo; Liu, Xiaohong; Li, Chunyi; Wu, Haoning; Lin, Weisi; Liu, Ning; Zhai, Guangtao; ",Optimizing projection-based point cloud quality assessment with human preferred viewpoints selection,2024 IEEE International Conference on Multimedia and Expo (ICME),,,1-6,2024,IEEE
"Li, Chunyi; Wu, Xiele; Wu, Haoning; Feng, Donghui; Zhang, Zicheng; Lu, Guo; Min, Xiongkuo; Liu, Xiaohong; Zhai, Guangtao; Lin, Weisi; ",CMC-Bench: Towards a New Paradigm of Visual Signal Compression,arXiv preprint arXiv:2406.09356,,,,2024,
"Han, Zongxi; Xie, Rong; ",Blind quality assessment of night-time photos: A region selective approach,Displays,84,,102774,2024,Elsevier
"Ancuti, Codruta O; Ancuti, Cosmin; Vasluianu, Florin-Alexandru; Timofte, Radu; Liu, Yidi; Wang, Xingbo; Zhu, Yurui; Shi, Gege; Lu, Xin; Fu, Xueyang; ",NTIRE 2024 dense and non-homogeneous dehazing challenge report,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,6453-6468,2024,
"Zhai, Guangtao; Zhou, Jun; Ye, Long; Yang, Hua; An, Ping; Yang, Xiaokang; ","Digital Multimedia Communications: 20th International Forum on Digital TV and Wireless Multimedia Communications, IFTC 2023, Beijing, China, December 21–22, 2023, Revised Selected Papers, Part II",,,,,2024,Springer Nature
