,,,成分,,,,,工艺,,,,,,可以不用预测,性能,,
Zhang 等 - 2018 - Recent developments in high-strength Mg-RE-based alloys focusing on Mg-Gd and Mg-Y systems.txt,10.1016/j.jma.2018.08.001,Mg-11.7Gd-4.9Y-0.3Zr,83.1,11.7,4.9,0,0.3,520,48,420,10,200,36,500,539,2.7,
Zhang 等 - 2018 - Recent developments in high-strength Mg-RE-based alloys focusing on Mg-Gd and Mg-Y systems.txt,10.1016/j.jma.2018.08.001,Mg-15Gd-1Zn-0.4Zr,83.6,15,0,1,0.4,520,12,490,9,200,32,380,461,2.7,
Rong 等 - 2017 - Fabrication of high-strength Mg-Gd-Zn-Zr alloys via differential-thermal extrusion.txt,10.1016/j.matchar.2017.07.031,Mg-15Gd-1Zn-0.4Zr,83.6,15,0,1,0.4,0,0,0,9,200,64,380,461,2.7,2.5 µm
Song 等 - 2020 - Latest research advances on magnesium and magnesium alloys worldwide.txt,10.1016/j.jma.2020.02.003,Mg-10Gd-3Y-0.5Zr,86.5,10,3,0,0.5,0,0,0,0,250,12,247,360,2.7,
,,,83.30 ,11.7,4.7,0,0.3,520,48,420,10,200,36,500,539,2.7,
,,,83.10 ,11.7,4.9,0,0.3,520,48,420,10,200,36,500,539,2.7,
Zhang 等 - 2018 - Recent developments in high-strength Mg-RE-based alloys focusing on Mg-Gd and Mg-Y systems.txt,10.1016/j.jma.2018.08.001,Mg-15Gd-1Zn-0.4Zr,83.6,15,0,1,0.4,520,12,430,9,200,32,338,420,2.6,
,,,87.50 ,10,1,1,0.5,460,12,0,0,0,0,119,137,2.6,
,,,90.8,9.2,0,0,0,0,0,0,0,0,0,131.152,84.11,2.5,
Park 等 - 2014 - Effects of extrusion parameters on the microstructure and mechanical properties of Mg–Zn–(Mn)–CeGd.txt,10.1016/j.msea.2014.01.074,Mg–2Zn–1.5Gd,96.5,1.5,0,2,0,520,12,0,7.35,0,0,320,324,2.4,1.4 µm
,,,91.79,1.81,0,5.87,0.53,0,0,360,18,200,48,368,346,2.3,
,,,83.08,11.71,4.9,0,0.31,520,48,450,20,200,48,483,423,2.2,
,,,91.79,1.81,0,5.87,0.53,0,0,290,18,200,38,409,391,2.2,
2018 - Microstructure evolution and mechanical properties of as-extruded Mg-Gd-Y-Zr alloy with Zn and Nd ad.txt,10.1016/j.msea.2017.12.070,Mg-11.5Gd-4.5Y-0.3Zr,83.7,11.5,4.5,0,0.3,520,48,450,20,200,48,423,483,2.2,
,,,83.50 ,12,4,0,0.5,500,6,0,0,225,80,245,355,2.2,
,,,96.85 ,1.4,1.2,0.4,0.15,0,0,0,0,0,0,150,182,2.2,
,,,92.42,0,1.65,5.26,0.67,0,0,305,18,0,0,418,396,2.1,
,,,86.6,8.2,3.8,1,0.4,0,0,0,0,0,0,187,119,2.1,
Liu 等 - 2016 - Effects of extrusion speed on the microstructure and mechanical properties of Mg9Gd3Y1.5Zn0.8Zr allo.txt,10.1016/j.jmst.2015.12.004,Mg–9Gd–3Y–1.5Zn–0.8Zr,85.7,9,3,1.5,0.8,530,5,350,15,200,30,371,446,2.1,4.5±0.5 µm 
Liu 等 - 2016 - Effects of extrusion speed on the microstructure and mechanical properties of Mg9Gd3Y1.5Zn0.8Zr allo.txt,10.1016/j.jmst.2015.12.004,Mg–9Gd–3Y–1.5Zn–0.8Zr,85.7,9,3,1.5,0.8,530,5,350,15,200,60,325,407,2.1,
"Li 等 - 2011 - Development of high-strength magnesium alloys via combined processes of extrusion, rolling and agein.txt",10.1016/j.scriptamat.2011.01.042,Mg–14Gd–0.5Zr,85.5,14,0,0,0.5,505,24,505,28,200,16,445,482,2,20 μm
Zhang 等 - 2018 - Recent developments in high-strength Mg-RE-based alloys focusing on Mg-Gd and Mg-Y systems.txt,10.1016/j.jma.2018.08.001,Mg-12Y-3Zn-0.6Zr,84.4,0,12,3,0.6,510,16,400,15,0,0,350,440,2,
Zhang 等 - 2018 - Recent developments in high-strength Mg-RE-based alloys focusing on Mg-Gd and Mg-Y systems.txt,10.1016/j.jma.2018.08.001,Mg-12Y-5Zn-0.6Zr,82.4,0,12,5,0.6,510,16,400,15,0,0,351,429,2,
,,,85.60 ,10,3,1,0.4,500,10,0,0,225,16,253,364,2,
,,,85.30 ,8.2,4.6,1.5,0.4,0,0,0,0,0,0,133,218,2,
,,,97.05 ,1.4,1.2,0.2,0.15,0,0,0,0,0,0,147,174,2,
,,,91.79,1.81,0,5.87,0.53,0,0,305,18,180,72,401,379,1.8,
Liu 等 - 2016 - Effects of extrusion speed on the microstructure and mechanical properties of Mg9Gd3Y1.5Zn0.8Zr allo.txt,10.1016/j.jmst.2015.12.004,Mg-9Gd-3Y-1.5Zn-0.8Zr,85.7,9,3,1.5,0.8,530,5,350,15,200,46,325,390,1.8,
,,,92.42,0,1.65,5.26,0.67,0,0,305,10,0,0,431,420,1.7,
,,,91.79,1.81,0,5.87,0.53,0,0,305,18,200,72,407,390,1.7,
,,,95.2,0,1,3.8,0,0,0,0,0,0,0,136.8,102.6,1.5,
,,,75.19574223,0,18.13584609,6.668411682,0,0,0,0,0,0,0,220.9,155.6,1.36,
,,,91.79,1.81,0,5.87,0.53,0,0,305,18,200,38,408,361,1.3,
,,,92.26238673,0,5.1921352,2.545478073,0,500,10,350,10,0,0,390.2,367.5,1.3,
,,,87.10 ,8.1,4.5,0,0.3,0,0,0,0,0,0,164,211,1.2,
,,,85.90 ,8.5,4.5,0.7,0.4,0,0,0,0,0,0,146,201,1.1,
,,,93.91659531,0,3.505507725,2.577896965,0,500,10,350,10,0,0,383.2,360.5,1,
,,,95.61348304,0,1.775364686,2.611152275,0,500,10,350,10,0,0,340.3,328.3,1,
,,,85.95,14.05,0,0,0,0,0,0,0,0,0,175.22,127.646,0.95,
,,,92.42,0,1.65,5.26,0.67,0,0,305,18,200,38,433,418,0.8,
,,,91.79,1.81,0,5.87,0.53,0,0,320,18,200,38,405,391,0.8,
,,,89.47544395,0,6.78330287,3.741253176,0,500,10,350,10,0,0,399,390,0.7,
,,,92.42,0,1.65,5.26,0.67,0,0,305,18,200,48,426,413,0.5,
,,,92.42,0,1.65,5.26,0.67,0,0,305,18,180,72,418,410,0.5,
