Rank,Company,Industry,Revenue ($), City ,State,Zip,Website,Employees,CEO
439,First Citizens BancShares,Commercial Banks,"8,900,000,000", Raleigh ,North Carolina,27609,firstcitizens.com,"17,333",Frank Holding Jr.
440,Xylem,Industrial Machinery,"8,890,000,000", Washington ,District Of Columbia,20003,xylem.com,"23,000",Matthew Pine
441,CACI International,Information Technology Services,"8,860,000,000", Reston ,Virginia,20190,caci.com,"24,000",John Mengucci
442,TransDigm,Aerospace & Defense,"8,830,000,000", Cleveland ,Ohio,44115,transdigm.com,"16,600",Kevin Stein
443,PVH,Apparel,"8,820,000,000", New York ,New York,10017,pvh.com,"22,000",Stefan Larsson
444,Ovintiv,"Mining, Crude-Oil Production","8,790,000,000", Denver ,Colorado,80202,ovintiv.com,"1,623",Brendan McCracken
445,NOV,"Oil and Gas Equipment, Services","8,780,000,000", Houston ,Texas,77042,nov.com,"34,010",Clay Williams
446,Avery Dennison,"Packaging, Containers","8,770,000,000", Mentor ,Ohio,44060,averydennison.com,"35,000",Deon Stander
447,Franklin Resources,Securities,"8,770,000,000", San Mateo ,California,94403,franklinresources.com,"10,200",Jennifer Johnson
448,Packaging Corp. of America,"Packaging, Containers","8,770,000,000", Lake Forest ,Illinois,60045,packagingcorp.com,"15,400",Mark Kowlzan
449,J.M. Smucker,Food Consumer Products,"8,770,000,000", Orrville ,Ohio,44667,jmsmucker.com,"9,000",Mark Smucker
450,Old Republic International,Insurance: Property and Casualty (Stock),"8,750,000,000", Chicago ,Illinois,60601,oldrepublic.com,"9,400",Craig Smiddy
451,Sprouts Farmers Market,Food & Drug Stores,"8,650,000,000", Phoenix ,Arizona,85054,sprouts.com,"35,000",Jack Sinclair
452,ABM Industries,Diversified Outsourcing Services,"8,630,000,000", New York ,New York,10006,abm.com,"117,000",Scott Salmirs
453,Advance Auto Parts,Specialty Retailers: Other,"8,620,000,000", Raleigh ,North Carolina,27609,advanceautoparts.com,"48,000",Shane O'Kelly
454,Graphic Packaging,"Packaging, Containers","8,610,000,000", Atlanta ,Georgia,30328,graphicpkg.com,"23,000",Robbert Rietbroek
455,Sirius XM,Entertainment,"8,550,000,000", New York ,New York,10020,siriusxm.com,"5,515",Jennifer Witz
456,Hertz,"Automotive Retailing, Services","8,520,000,000", Estero ,Florida,33928,hertz.com,"26,000",Gil West
457,Jefferies Financial,Diversified Financials,"8,500,000,000", New York ,New York,10022,jefferies.com,"7,822",Richard Handler
458,News Corp.,"Publishing, Printing","8,500,000,000", New York ,New York,10036,newscorp.com,"23,900",Robert Thomson
459,Solventum,Medical Products and Equipment,"8,400,000,000", Maplewood ,Minnesota,55144,solventum.com,"22,000",Bryan Hanson
460,Taylor Morrison Home,Homebuilders,"8,380,000,000", Scottsdale ,Arizona,85251,taylormorrison.com,"3,000",Sheryl Palmer
461,Rockwell Automation,"Electronics, Electrical Equip.","8,340,000,000", Milwaukee ,Wisconsin,53204,rockwellautomation.com,"27,000",Blake Moret
462,CMS Energy,Utilities: Gas and Electric,"8,300,000,000", Jackson ,Michigan,49201,cmsenergy.com,"8,324",Garrick Rochow
463,Insight Enterprises,Information Technology Services,"8,270,000,000", Chandler ,Arizona,85286,insight.com,"14,324",Joyce Mullen
464,Securian Financial,"Insurance: Life, Health (Stock)","8,226,000,000", St. Paul ,Minnesota,55101,securian.com,"5,570",Christopher Hilger
465,Post,Food Consumer Products,"8,160,000,000", St. Louis ,Missouri,63144,postholdings.com,"11,480",Robert Vitale
466,Fifth Third Bancorp,Commercial Banks,"8,130,000,000", Cincinnati ,Ohio,45263,53.com,"18,616",Timothy Spence
467,Sanmina,Semiconductors and Other Electronic Components,"8,130,000,000", San Jose ,California,95134,sanmina.com,"34,500",Jure Sola
468,Voya Financial,Diversified Financials,"8,090,000,000", New York ,New York,10169,voya.com,"10,000",Heather Lavallee
469,XPO,Transportation and Logistics,"8,070,000,000", Greenwich ,Connecticut,6831,xpo.com,"39,500",Mario Harik
470,Yum Brands,Food Services,"8,060,000,000", Louisville ,Kentucky,40213,yum.com,"31,691",David Gibbs
471,KBR,Information Technology Services,"8,040,000,000", Houston ,Texas,77002,kbr.com,"38,000",Stuart Bradie
472,American Financial,Insurance: Property and Casualty (Stock),"8,010,000,000", Cincinnati ,Ohio,45202,afginc.com,"8,700",Carl Lindner lll
473,Zimmer Biomet,Medical Products and Equipment,"8,010,000,000", Warsaw ,Indiana,46580,zimmerbiomet.com,"17,000",Ivan Tornos
474,Fastenal,Wholesalers: Diversified,"8,000,000,000", Winona ,Minnesota,55987,fastenal.com,"20,958",Daniel Florness
475,Foot Locker,Specialty Retailers: Apparel,"8,000,000,000", New York ,New York,10001,footlocker.com,"30,223",Mary Dillon
476,Monster Beverage,Beverages,"7,980,000,000", Corona ,California,92879,monsterbevcorp.com,"6,043",Rodney Sacks
477,Howmet Aerospace,Aerospace & Defense,"7,980,000,000", Pittsburgh ,Pennsylvania,15212,howmet.com,"23,930",John Plant
478,Northern Trust,Commercial Banks,"7,930,000,000", Chicago ,Illinois,60603,northerntrust.com,"23,300",Michael O'Grady
479,Dover,Industrial Machinery,"7,920,000,000", Downers Grove ,Illinois,60515,dovercorporation.com,"24,000",Richard Tobin
480,Williams-Sonoma,Specialty Retailers: Other,"7,910,000,000", San Francisco ,California,94109,williams-sonomainc.com,"19,600",Laura Alber
481,ARKO,Specialty Retailers: Other,"7,890,000,000", Richmond ,Virginia,23227,arkocorp.com,"11,772",Arie Kotler
482,Vulcan Materials,"Building Materials, Glass","7,880,000,000", Birmingham ,Alabama,35242,vulcanmaterials.com,"11,971",Thomas Hill
483,Regions Financial,Commercial Banks,"7,800,000,000", Birmingham ,Alabama,35203,regions.com,"19,644",John Turner Jr.
484,Commercial Metals,Metals,"7,800,000,000", Irving ,Texas,75039,cmc.com,"13,178",Peter Matt
485,Core & Main,Wholesalers: Diversified,"7,760,000,000", St. Louis ,Missouri,63146,coreandmain.com,"5,700",Mark Witkowski
486,Rush Enterprises,"Automotive Retailing, Services","7,670,000,000", New Braunfels ,Texas,78130,rushenterprises.com,"7,882",Rush
487,Microchip Technology,Semiconductors and Other Electronic Components,"7,600,000,000", Chandler ,Arizona,85224,microchip.com,"22,300",Steve Sanghi
488,Masco,"Home Equipment, Furnishings","7,600,000,000", Livonia ,Michigan,48152,masco.com,"18,000",Keith Allman
489,Interactive Brokers,Securities,"7,500,000,000", Greenwich ,Connecticut,6830,interactivebrokers.com,"2,998",Milan Galik
490,Huntington Bancshares,Commercial Banks,"7,500,000,000", Columbus ,Ohio,43287,huntington.com,"19,932",Stephen Steinour
491,Endeavor,Entertainment,"7,500,000,000", Beverly Hills ,California,90210,endeavorco.com,"10,000",Mark Shapiro
492,Par Pacific,Petroleum Refining,"7,480,000,000", Houston ,Texas,77024,parpacific.com,"1,787",William Monteleone
493,Citizens Financial,Commercial Banks,"7,440,000,000", Providence ,Rhode Island,2903,citizensbank.com,"17,287",Bruce Van Saun
494,Watsco,Wholesalers: Diversified,"7,410,000,000", Miami ,Florida,33133,watsco.com,"7,258",Albert Nahmad
495,Science Applications International,Information Technology Services,"7,350,000,000", Reston ,Virginia,20190,saic.com,"24,000",Toni Townes-Whitley
496,Electronic Arts,Entertainment,"7,290,000,000", Redwood City ,California,94065,ea.com,"13,700",Andrew Wilson
497,Newell Brands,"Home Equipment, Furnishings","7,260,000,000", Atlanta ,Georgia,30328,newellbrands.com,"23,700",Christopher Peterson
498,Ingredion,Food Production,"7,260,000,000", Westchester ,Illinois,60154,ingredion.com,"11,200",James Zallie
499,KeyCorp,Commercial Banks,"7,200,000,000", Cleveland ,Ohio,44114,key.com,"16,753",Christopher Gorman
500,QXO Building Products,Wholesalers: Diversified,"5,500,000,000", Herndon ,Virginia,20170,qxo.com,"8,068",Julian Francis
