Sample,Sample Type,Carbonate Type,Location,Latitude,Longitude,Altitude（m）,Age(Ma),Age1(Ma),Period,Stage,Soil depth(cm),Burial depth（m）,N,δ13C,δ18O mineral,Δ47 Ghosh,Δ47 ARF,Temperature,δ18O water,Δ47Diagenetic alteration,reference
NH060130,Paleosol carbonate,Dolomite,Axhandle Canyon,40.00 ,-110.00 ,/,50.87198387,50.87198387,Paleogene,Ypresian,≥30,/,2,-6.48 ,-9.97 ,0.580245,0.630 ,37.91 ,-8.07 ,0,"VanDeVelde, J.H., Bowen, G.J., Passey, B.H., Bowen, B.B., 2013. Climatic and diagenetic signals in the stable isotope geochemistry of dolomitic paleosols spanning the Paleocene-Eocene boundary. Geochimica et Cosmochimica Acta 109, 254-267."
41-1435-2,Paleosol carbonate,Calcite,"Bighorn Basin,USA",45.00 ,-108.00 ,/,53,53,Paleogene,Ypresian,/,/,2,-11.40 ,-7.82 ,0.578,,41.50 ,-2.30 ,0,"Snell, K.E., Thrasher, B.L., Eiler, J.M., Koch, P.L., Sloan, L.C., Tabor, N.J., 2013. Hot summers in the Bighorn Basin during the early Paleogene. Geology 41, 55-58."
41-1435-6,Paleosol carbonate,Calcite,"Bighorn Basin,USA",45.00 ,-108.00 ,/,53,53,Paleogene,Ypresian,/,/,2,-11.50 ,-8.01 ,0.566,,44.80 ,-1.90 ,0,"Snell, K.E., Thrasher, B.L., Eiler, J.M., Koch, P.L., Sloan, L.C., Tabor, N.J., 2013. Hot summers in the Bighorn Basin during the early Paleogene. Geology 41, 55-58."
35-1190-2,Paleosol carbonate,Calcite,"Bighorn Basin,USA",45.00 ,-108.00 ,/,53.4,53.4,Paleogene,Ypresian,/,/,2,-10.60 ,-8.11 ,0.609,,33.80 ,-4.10 ,0,"Snell, K.E., Thrasher, B.L., Eiler, J.M., Koch, P.L., Sloan, L.C., Tabor, N.J., 2013. Hot summers in the Bighorn Basin during the early Paleogene. Geology 41, 55-58."
32-1030-3,Paleosol carbonate,Calcite,"Bighorn Basin,USA",45.00 ,-108.00 ,/,53.6,53.6,Paleogene,Ypresian,/,/,3,-8.80 ,-8.50 ,0.624,,30.00 ,-5.20 ,0,"Snell, K.E., Thrasher, B.L., Eiler, J.M., Koch, P.L., Sloan, L.C., Tabor, N.J., 2013. Hot summers in the Bighorn Basin during the early Paleogene. Geology 41, 55-58."
SC-295,Paleosol carbonate,Calcite,"Bighorn Basin,USA",45.00 ,-108.00 ,/,54.1,54.1,Paleogene,Ypresian,/,/,2,-10.00 ,-8.30 ,0.601,,35.60 ,-3.90 ,0,"Snell, K.E., Thrasher, B.L., Eiler, J.M., Koch, P.L., Sloan, L.C., Tabor, N.J., 2013. Hot summers in the Bighorn Basin during the early Paleogene. Geology 41, 55-58."
SC-64,Paleosol carbonate,Calcite,"Bighorn Basin,USA",45.00 ,-108.00 ,/,54.7,54.7,Paleogene,Ypresian,/,/,2,-8.70 ,-8.11 ,0.598,,36.20 ,-3.60 ,0,"Snell, K.E., Thrasher, B.L., Eiler, J.M., Koch, P.L., Sloan, L.C., Tabor, N.J., 2013. Hot summers in the Bighorn Basin during the early Paleogene. Geology 41, 55-58."
SC-33,Paleosol carbonate,Calcite,"Bighorn Basin,USA",45.00 ,-108.00 ,/,55,55,Paleogene,Ypresian,/,/,3,-7.50 ,-8.79 ,0.638,,26.80 ,-6.10 ,0,"Snell, K.E., Thrasher, B.L., Eiler, J.M., Koch, P.L., Sloan, L.C., Tabor, N.J., 2013. Hot summers in the Bighorn Basin during the early Paleogene. Geology 41, 55-58."
SC-15,Paleosol carbonate,Calcite,"Bighorn Basin,USA",45.00 ,-108.00 ,/,55.5,55.5,Paleogene,Ypresian,/,/,2,-8.40 ,-8.79 ,0.596,,36.90 ,-4.20 ,0,"Snell, K.E., Thrasher, B.L., Eiler, J.M., Koch, P.L., Sloan, L.C., Tabor, N.J., 2013. Hot summers in the Bighorn Basin during the early Paleogene. Geology 41, 55-58."
SC-351-Nod1,Paleosol carbonate,Calcite,"Bighorn Basin,USA",45.00 ,-108.00 ,/,55.7,55.7,Paleogene,Ypresian,/,/,4,-14.60 ,-7.62 ,0.582,,40.40 ,-2.30 ,0,"Snell, K.E., Thrasher, B.L., Eiler, J.M., Koch, P.L., Sloan, L.C., Tabor, N.J., 2013. Hot summers in the Bighorn Basin during the early Paleogene. Geology 41, 55-58."
PB-00-02-02,Paleosol carbonate,Calcite,"Bighorn Basin,USA",45.00 ,-108.00 ,/,55.8,55.8,Paleogene,Ypresian,/,/,2,-13.60 ,-8.21 ,0.596,,36.80 ,-3.60 ,0,"Snell, K.E., Thrasher, B.L., Eiler, J.M., Koch, P.L., Sloan, L.C., Tabor, N.J., 2013. Hot summers in the Bighorn Basin during the early Paleogene. Geology 41, 55-58."
PB-00-02-32,Paleosol carbonate,Calcite,"Bighorn Basin,USA",45.00 ,-108.00 ,/,55.8,55.8,Paleogene,Ypresian,/,/,3,-14.10 ,-8.30 ,0.599,,36.00 ,-3.80 ,0,"Snell, K.E., Thrasher, B.L., Eiler, J.M., Koch, P.L., Sloan, L.C., Tabor, N.J., 2013. Hot summers in the Bighorn Basin during the early Paleogene. Geology 41, 55-58."
PB-00-02-32-2,Paleosol carbonate,Calcite,"Bighorn Basin,USA",45.00 ,-108.00 ,/,55.8,55.8,Paleogene,Ypresian,/,/,2,-14.10 ,-8.01 ,0.585,,39.70 ,-2.90 ,0,"Snell, K.E., Thrasher, B.L., Eiler, J.M., Koch, P.L., Sloan, L.C., Tabor, N.J., 2013. Hot summers in the Bighorn Basin during the early Paleogene. Geology 41, 55-58."
SC-62,Paleosol carbonate,Calcite,"Bighorn Basin,USA",45.00 ,-108.00 ,/,56,56,Paleogene,Ypresian,/,/,3,-8.10 ,-8.01 ,0.619,,31.20 ,-4.50 ,0,"Snell, K.E., Thrasher, B.L., Eiler, J.M., Koch, P.L., Sloan, L.C., Tabor, N.J., 2013. Hot summers in the Bighorn Basin during the early Paleogene. Geology 41, 55-58."
SC-188,Paleosol carbonate,Calcite,"Bighorn Basin,USA",45.00 ,-108.00 ,/,56.2,56.2,Paleogene,Thanetian,/,/,2,-6.90 ,-9.18 ,0.618,,31.40 ,-5.60 ,0,"Snell, K.E., Thrasher, B.L., Eiler, J.M., Koch, P.L., Sloan, L.C., Tabor, N.J., 2013. Hot summers in the Bighorn Basin during the early Paleogene. Geology 41, 55-58."
M1P-60-Aa,Soil carbonate,Calcite,"Arizona, USA",31.78 ,-110.89 ,1105,0,0,Quaternary,Holocene,60,,/,-8.00 ,-8.30 ,0.617,0.670 ,31.60 ,/,0,"Quade, J., Eiler, J., Daëron, M., Achyuthan, H., 2013. The clumped isotope geothermometer in soil and paleosol carbonate. Geochimica et Cosmochimica Acta 105, 92-107."
M1-70-Aa,Soil carbonate,Calcite,"Arizona, USA",31.78 ,-110.89 ,1105,0,0,Quaternary,Holocene,70,,/,-8.10 ,-8.20 ,0.616,0.670 ,31.90 ,/,0,"Quade, J., Eiler, J., Daëron, M., Achyuthan, H., 2013. The clumped isotope geothermometer in soil and paleosol carbonate. Geochimica et Cosmochimica Acta 105, 92-107."
M1P-90-Aa,Soil carbonate,Calcite,"Arizona, USA",31.78 ,-110.89 ,1105,0,0,Quaternary,Holocene,90,,/,-7.50 ,-8.40 ,0.614,0.660 ,32.40 ,/,0,"Quade, J., Eiler, J., Daëron, M., Achyuthan, H., 2013. The clumped isotope geothermometer in soil and paleosol carbonate. Geochimica et Cosmochimica Acta 105, 92-107."
M1-135-Aa,Soil carbonate,Calcite,"Arizona, USA",31.78 ,-110.89 ,1105,0,0,Quaternary,Holocene,135,,/,-8.50 ,-7.70 ,0.628,0.680 ,29.20 ,/,0,"Quade, J., Eiler, J., Daëron, M., Achyuthan, H., 2013. The clumped isotope geothermometer in soil and paleosol carbonate. Geochimica et Cosmochimica Acta 105, 92-107."
M2-25-Ab,Soil carbonate,Calcite,"Arizona, USA",31.78 ,-110.89 ,1105,0,0,Quaternary,Holocene,25,,/,-8.70 ,-6.00 ,0.641,0.690 ,26.00 ,/,0,"Quade, J., Eiler, J., Daëron, M., Achyuthan, H., 2013. The clumped isotope geothermometer in soil and paleosol carbonate. Geochimica et Cosmochimica Acta 105, 92-107."
M2-70-Aa,Soil carbonate,Calcite,"Arizona, USA",31.78 ,-110.89 ,1105,0,0,Quaternary,Holocene,70,,/,-8.70 ,-6.50 ,0.642,0.690 ,25.80 ,/,0,"Quade, J., Eiler, J., Daëron, M., Achyuthan, H., 2013. The clumped isotope geothermometer in soil and paleosol carbonate. Geochimica et Cosmochimica Acta 105, 92-107."
M2-75-Aa,Soil carbonate,Calcite,"Arizona, USA",31.78 ,-110.89 ,1105,0,0,Quaternary,Holocene,75,,/,-8.70 ,-6.30 ,0.655,0.710 ,23.10 ,/,0,"Quade, J., Eiler, J., Daëron, M., Achyuthan, H., 2013. The clumped isotope geothermometer in soil and paleosol carbonate. Geochimica et Cosmochimica Acta 105, 92-107."
M2-92-Aa,Soil carbonate,Calcite,"Arizona, USA",31.78 ,-110.89 ,1105,0,0,Quaternary,Holocene,92,,/,-8.40 ,-6.90 ,0.637,0.690 ,27.20 ,/,0,"Quade, J., Eiler, J., Daëron, M., Achyuthan, H., 2013. The clumped isotope geothermometer in soil and paleosol carbonate. Geochimica et Cosmochimica Acta 105, 92-107."
H-70-Aa,Soil carbonate,Calcite,"Arizona, USA",31.45 ,-110.37 ,1910,0,0,Quaternary,Holocene,70,,/,-6.40 ,-7.90 ,0.64,0.690 ,26.40 ,/,0,"Quade, J., Eiler, J., Daëron, M., Achyuthan, H., 2013. The clumped isotope geothermometer in soil and paleosol carbonate. Geochimica et Cosmochimica Acta 105, 92-107."
H-70-Ba,Soil carbonate,Calcite,"Arizona, USA",31.45 ,-110.37 ,1910,0,0,Quaternary,Holocene,70,,/,-8.40 ,-9.70 ,0.646,0.700 ,25.00 ,/,0,"Quade, J., Eiler, J., Daëron, M., Achyuthan, H., 2013. The clumped isotope geothermometer in soil and paleosol carbonate. Geochimica et Cosmochimica Acta 105, 92-107."
H-70-Bb,Soil carbonate,Calcite,"Arizona, USA",31.45 ,-110.37 ,1910,0,0,Quaternary,Holocene,70,,/,-8.50 ,-10.10 ,0.669,0.720 ,20.00 ,/,0,"Quade, J., Eiler, J., Daëron, M., Achyuthan, H., 2013. The clumped isotope geothermometer in soil and paleosol carbonate. Geochimica et Cosmochimica Acta 105, 92-107."
H-70-Ca,Soil carbonate,Calcite,"Arizona, USA",31.45 ,-110.37 ,1910,0,0,Quaternary,Holocene,70,,/,-8.30 ,-10.00 ,0.659,0.710 ,22.10 ,/,0,"Quade, J., Eiler, J., Daëron, M., Achyuthan, H., 2013. The clumped isotope geothermometer in soil and paleosol carbonate. Geochimica et Cosmochimica Acta 105, 92-107."
H-90-Aa,Soil carbonate,Calcite,"Arizona, USA",31.45 ,-110.37 ,1910,0,0,Quaternary,Holocene,90,,/,-6.90 ,-8.90 ,0.654,0.710 ,23.20 ,/,0,"Quade, J., Eiler, J., Daëron, M., Achyuthan, H., 2013. The clumped isotope geothermometer in soil and paleosol carbonate. Geochimica et Cosmochimica Acta 105, 92-107."
H-90-Ba,Soil carbonate,Calcite,"Arizona, USA",31.45 ,-110.37 ,1910,0,0,Quaternary,Holocene,90,,/,-7.20 ,-8.80 ,0.659,0.710 ,22.10 ,/,0,"Quade, J., Eiler, J., Daëron, M., Achyuthan, H., 2013. The clumped isotope geothermometer in soil and paleosol carbonate. Geochimica et Cosmochimica Acta 105, 92-107."
H-90-Bb,Soil carbonate,Calcite,"Arizona, USA",31.45 ,-110.37 ,1910,0,0,Quaternary,Holocene,90,,/,-7.20 ,-8.80 ,0.644,0.690 ,25.50 ,/,0,"Quade, J., Eiler, J., Daëron, M., Achyuthan, H., 2013. The clumped isotope geothermometer in soil and paleosol carbonate. Geochimica et Cosmochimica Acta 105, 92-107."
H-90-Bc,Soil carbonate,Calcite,"Arizona, USA",31.45 ,-110.37 ,1910,0,0,Quaternary,Holocene,90,,/,-7.20 ,-8.80 ,0.675,0.730 ,18.60 ,/,0,"Quade, J., Eiler, J., Daëron, M., Achyuthan, H., 2013. The clumped isotope geothermometer in soil and paleosol carbonate. Geochimica et Cosmochimica Acta 105, 92-107."
H-110-Aa,Soil carbonate,Calcite,"Arizona, USA",31.45 ,-110.37 ,1910,0,0,Quaternary,Holocene,110,,/,-7.80 ,-10.10 ,0.656,0.710 ,22.90 ,/,0,"Quade, J., Eiler, J., Daëron, M., Achyuthan, H., 2013. The clumped isotope geothermometer in soil and paleosol carbonate. Geochimica et Cosmochimica Acta 105, 92-107."
H-110-Ba,Soil carbonate,Calcite,"Arizona, USA",31.45 ,-110.37 ,1910,0,0,Quaternary,Holocene,110,,/,-7.90 ,-8.60 ,0.664,0.720 ,21.00 ,/,0,"Quade, J., Eiler, J., Daëron, M., Achyuthan, H., 2013. The clumped isotope geothermometer in soil and paleosol carbonate. Geochimica et Cosmochimica Acta 105, 92-107."
H-110-Bb,Soil carbonate,Calcite,"Arizona, USA",31.45 ,-110.37 ,1910,0,0,Quaternary,Holocene,110,,/,-7.90 ,-8.50 ,0.66,0.710 ,22.00 ,/,0,"Quade, J., Eiler, J., Daëron, M., Achyuthan, H., 2013. The clumped isotope geothermometer in soil and paleosol carbonate. Geochimica et Cosmochimica Acta 105, 92-107."
H-130-Aa,Soil carbonate,Calcite,"Arizona, USA",31.45 ,-110.37 ,1910,0,0,Quaternary,Holocene,130,,/,-8.20 ,-8.90 ,0.67,0.720 ,19.80 ,/,0,"Quade, J., Eiler, J., Daëron, M., Achyuthan, H., 2013. The clumped isotope geothermometer in soil and paleosol carbonate. Geochimica et Cosmochimica Acta 105, 92-107."
H-130-Ba,Soil carbonate,Calcite,"Arizona, USA",31.45 ,-110.37 ,1910,0,0,Quaternary,Holocene,130,,/,-8.50 ,-8.80 ,0.67,0.720 ,19.70 ,/,0,"Quade, J., Eiler, J., Daëron, M., Achyuthan, H., 2013. The clumped isotope geothermometer in soil and paleosol carbonate. Geochimica et Cosmochimica Acta 105, 92-107."
H-130-Bb,Soil carbonate,Calcite,"Arizona, USA",31.45 ,-110.37 ,1910,0,0,Quaternary,Holocene,130,,/,-8.50 ,-8.80 ,0.671,0.720 ,19.60 ,/,0,"Quade, J., Eiler, J., Daëron, M., Achyuthan, H., 2013. The clumped isotope geothermometer in soil and paleosol carbonate. Geochimica et Cosmochimica Acta 105, 92-107."
H-130-Ca,Soil carbonate,Calcite,"Arizona, USA",31.45 ,-110.37 ,1910,0,0,Quaternary,Holocene,130,,/,-7.70 ,-8.70 ,0.662,0.710 ,21.40 ,/,0,"Quade, J., Eiler, J., Daëron, M., Achyuthan, H., 2013. The clumped isotope geothermometer in soil and paleosol carbonate. Geochimica et Cosmochimica Acta 105, 92-107."
H-150-Ba,Soil carbonate,Calcite,"Arizona, USA",31.45 ,-110.37 ,1910,0,0,Quaternary,Holocene,150,,/,-8.70 ,-7.10 ,0.621,0.670 ,30.80 ,/,0,"Quade, J., Eiler, J., Daëron, M., Achyuthan, H., 2013. The clumped isotope geothermometer in soil and paleosol carbonate. Geochimica et Cosmochimica Acta 105, 92-107."
H-150-Bb,Soil carbonate,Calcite,"Arizona, USA",31.45 ,-110.37 ,1910,0,0,Quaternary,Holocene,150,,/,-8.60 ,-7.90 ,0.663,0.710 ,21.30 ,/,0,"Quade, J., Eiler, J., Daëron, M., Achyuthan, H., 2013. The clumped isotope geothermometer in soil and paleosol carbonate. Geochimica et Cosmochimica Acta 105, 92-107."
H-150-Bc,Soil carbonate,Calcite,"Arizona, USA",31.45 ,-110.37 ,1910,0,0,Quaternary,Holocene,150,,/,-8.60 ,-7.90 ,0.683,0.740 ,17.10 ,/,0,"Quade, J., Eiler, J., Daëron, M., Achyuthan, H., 2013. The clumped isotope geothermometer in soil and paleosol carbonate. Geochimica et Cosmochimica Acta 105, 92-107."
H-150-Ca,Soil carbonate,Calcite,"Arizona, USA",31.45 ,-110.37 ,1910,0,0,Quaternary,Holocene,150,,/,-8.40 ,-8.30 ,0.667,0.720 ,20.40 ,/,0,"Quade, J., Eiler, J., Daëron, M., Achyuthan, H., 2013. The clumped isotope geothermometer in soil and paleosol carbonate. Geochimica et Cosmochimica Acta 105, 92-107."
H-150-Cb,Soil carbonate,Calcite,"Arizona, USA",31.45 ,-110.37 ,1910,0,0,Quaternary,Holocene,150,,/,-8.40 ,-8.40 ,0.659,0.710 ,22.20 ,/,0,"Quade, J., Eiler, J., Daëron, M., Achyuthan, H., 2013. The clumped isotope geothermometer in soil and paleosol carbonate. Geochimica et Cosmochimica Acta 105, 92-107."
50(a),Soil carbonate,Calcite,"Jammu, India",32.58 ,74.99 ,348,0,0,Quaternary,Holocene,85,,/,-3.10 ,-6.40 ,0.5977,0.650 ,36.00 ,/,0,"Quade, J., Eiler, J., Daëron, M., Achyuthan, H., 2013. The clumped isotope geothermometer in soil and paleosol carbonate. Geochimica et Cosmochimica Acta 105, 92-107."
50(b),Soil carbonate,Calcite,"Jammu, India",32.58 ,74.99 ,348,0,0,Quaternary,Holocene,85,,/,2.00 ,-3.80 ,0.6034,0.650 ,35.00 ,/,0,"Quade, J., Eiler, J., Daëron, M., Achyuthan, H., 2013. The clumped isotope geothermometer in soil and paleosol carbonate. Geochimica et Cosmochimica Acta 105, 92-107."
7893-30-40cm,Soil carbonate,Calcite,"Punjab, India",33.50 ,72.90 ,500,0,0,Quaternary,Holocene,35,,/,1.40 ,-5.80 ,0.6188,0.670 ,31.30 ,/,0,"Quade, J., Eiler, J., Daëron, M., Achyuthan, H., 2013. The clumped isotope geothermometer in soil and paleosol carbonate. Geochimica et Cosmochimica Acta 105, 92-107."
7893-50cm,Soil carbonate,Calcite,"Punjab, India",33.50 ,72.90 ,500,0,0,Quaternary,Holocene,50,,/,1.70 ,-6.10 ,0.6269,0.680 ,29.40 ,/,0,"Quade, J., Eiler, J., Daëron, M., Achyuthan, H., 2013. The clumped isotope geothermometer in soil and paleosol carbonate. Geochimica et Cosmochimica Acta 105, 92-107."
7893-125cm,Soil carbonate,Calcite,"Punjab, India",33.50 ,72.90 ,500,0,0,Quaternary,Holocene,125,,/,1.40 ,-5.80 ,0.6185,0.670 ,31.40 ,/,0,"Quade, J., Eiler, J., Daëron, M., Achyuthan, H., 2013. The clumped isotope geothermometer in soil and paleosol carbonate. Geochimica et Cosmochimica Acta 105, 92-107."
AL 1-118,Paleosol carbonate,Calcite,"Central Andes, Bolivia",-17.15 ,-67.63 ,3725,28,28,Paleogene,Rupelian,＞50,,2,-5.75 ,-9.67 ,,0.622 ,42.66 ,-3.90 ,0,"Leier, A., McQuarrie, N., Garzione, C., Eiler, J., 2013. Stable isotope evidence for multiple pulses of rapid surface uplift in the Central Andes, Bolivia. Earth and Planetary Science Letters 371–372, 49-58."
AL 1-128,Paleosol carbonate,Calcite,"Central Andes, Bolivia",-17.15 ,-67.63 ,3733,27,27,Paleogene,Chattian,＞50,,3,-5.23 ,-8.60 ,,0.649 ,35.99 ,-4.00 ,0,"Leier, A., McQuarrie, N., Garzione, C., Eiler, J., 2013. Stable isotope evidence for multiple pulses of rapid surface uplift in the Central Andes, Bolivia. Earth and Planetary Science Letters 371–372, 49-58."
AL 1-131,Paleosol carbonate,Calcite,"Central Andes, Bolivia",-17.15 ,-67.63 ,3733,27,27,Paleogene,Chattian,＞50,,2,-5.33 ,-8.61 ,,0.665 ,32.11 ,-4.80 ,0,"Leier, A., McQuarrie, N., Garzione, C., Eiler, J., 2013. Stable isotope evidence for multiple pulses of rapid surface uplift in the Central Andes, Bolivia. Earth and Planetary Science Letters 371–372, 49-58."
AL 2-44,Paleosol carbonate,Calcite,"Central Andes, Bolivia",-17.18 ,-67.62 ,3812,26.5,26.5,Paleogene,Chattian,＞50,,2,-6.56 ,-7.98 ,,0.650 ,34.15 ,-3.50 ,0,"Leier, A., McQuarrie, N., Garzione, C., Eiler, J., 2013. Stable isotope evidence for multiple pulses of rapid surface uplift in the Central Andes, Bolivia. Earth and Planetary Science Letters 371–372, 49-58."
AL 3-41,Paleosol carbonate,Calcite,"Central Andes, Bolivia",-17.21 ,-67.64 ,4051,25,25,Paleogene,Chattian,＞50,,2,-7.99 ,-7.69 ,,0.662 ,35.09 ,-3.80 ,0,"Leier, A., McQuarrie, N., Garzione, C., Eiler, J., 2013. Stable isotope evidence for multiple pulses of rapid surface uplift in the Central Andes, Bolivia. Earth and Planetary Science Letters 371–372, 49-58."
AL 6-46,Paleosol carbonate,Calcite,"Central Andes, Bolivia",-17.24 ,-67.46 ,4161,18,18,Neogene,Burdigalian,＞50,,3,-5.62 ,-13.29 ,,0.707 ,22.94 ,-11.30 ,0,"Leier, A., McQuarrie, N., Garzione, C., Eiler, J., 2013. Stable isotope evidence for multiple pulses of rapid surface uplift in the Central Andes, Bolivia. Earth and Planetary Science Letters 371–372, 49-58."
36a,Paleosol carbonate,Calcite,"Central Andes, Bolivia",-17.23 ,-67.47 ,4149,17,17,Neogene,Burdigalian,＞50,,3,-7.47 ,-13.85 ,,0.744 ,15.35 ,-13.50 ,0,"Leier, A., McQuarrie, N., Garzione, C., Eiler, J., 2013. Stable isotope evidence for multiple pulses of rapid surface uplift in the Central Andes, Bolivia. Earth and Planetary Science Letters 371–372, 49-58."
36b,Paleosol carbonate,Calcite,"Central Andes, Bolivia",-17.23 ,-67.47 ,4149,17,17,Neogene,Burdigalian,＞50,,2,-7.62 ,-13.17 ,,0.711 ,21.94 ,-11.40 ,0,"Leier, A., McQuarrie, N., Garzione, C., Eiler, J., 2013. Stable isotope evidence for multiple pulses of rapid surface uplift in the Central Andes, Bolivia. Earth and Planetary Science Letters 371–372, 49-58."
37a,Paleosol carbonate,Calcite,"Central Andes, Bolivia",-17.22 ,-67.47 ,4122,15,15,Neogene,Langhian,＞50,,2,-6.13 ,-12.86 ,,0.727 ,18.64 ,-11.80 ,0,"Leier, A., McQuarrie, N., Garzione, C., Eiler, J., 2013. Stable isotope evidence for multiple pulses of rapid surface uplift in the Central Andes, Bolivia. Earth and Planetary Science Letters 371–372, 49-58."
37b,Paleosol carbonate,Calcite,"Central Andes, Bolivia",-17.22 ,-67.47 ,4122,15,15,Neogene,Langhian,＞50,,2,-4.93 ,-12.95 ,,0.732 ,17.74 ,-12.10 ,0,"Leier, A., McQuarrie, N., Garzione, C., Eiler, J., 2013. Stable isotope evidence for multiple pulses of rapid surface uplift in the Central Andes, Bolivia. Earth and Planetary Science Letters 371–372, 49-58."
AV0807,Lake carbonate,Calcite,"Central Basin and Range and Southern Sierra Nevada, USA",36.64 ,-116.32 ,≤1500,14.5,14.5,Neogene,Langhian,/,/,4,-0.85 ,-8.96 ,,0.676 ,34.90 ,/,0,"Lechler, A.R., Niemi, N.A., Hren, M.T., Lohmann, K.C., 2013. Paleoelevation estimates for the northern and central proto-Basin and Range from carbonate clumped isotope thermometry. Tectonics 32, 295-316."
DV0811,Lake carbonate,Calcite,"Central Basin and Range and Southern Sierra Nevada, USA",36.39 ,-116.47 ,≤1500,14.7,14.7,Neogene,Langhian,/,/,4,0.73 ,-15.68 ,,0.688 ,29.50 ,/,0,"Lechler, A.R., Niemi, N.A., Hren, M.T., Lohmann, K.C., 2013. Paleoelevation estimates for the northern and central proto-Basin and Range from carbonate clumped isotope thermometry. Tectonics 32, 295-316."
SS0810,Lake carbonate,Calcite,"Central Basin and Range and Southern Sierra Nevada, USA",35.05 ,-118.77 ,0,15,15,Neogene,Langhian,/,/,4,-6.98 ,-8.06 ,,0.701 ,24.50 ,/,0,"Lechler, A.R., Niemi, N.A., Hren, M.T., Lohmann, K.C., 2013. Paleoelevation estimates for the northern and central proto-Basin and Range from carbonate clumped isotope thermometry. Tectonics 32, 295-316."
DV0804,Lake carbonate,Calcite,"Central Basin and Range and Southern Sierra Nevada, USA",36.65 ,-117.29 ,≤1500,17.7,17.7,Neogene,Burdigalian,/,/,3,-4.33 ,-12.05 ,,0.699 ,25.20 ,/,0,"Lechler, A.R., Niemi, N.A., Hren, M.T., Lohmann, K.C., 2013. Paleoelevation estimates for the northern and central proto-Basin and Range from carbonate clumped isotope thermometry. Tectonics 32, 295-316."
10SP03,Lake carbonate,Calcite,"Northern Basin and Range and Southern Sierra Nevada, USA",38.73 ,-114.94 ,≤2000,48,48,Paleogene,Ypresian,/,/,4,-0.33 ,-7.29 ,,0.704 ,23.70 ,/,0,"Lechler, A.R., Niemi, N.A., Hren, M.T., Lohmann, K.C., 2013. Paleoelevation estimates for the northern and central proto-Basin and Range from carbonate clumped isotope thermometry. Tectonics 32, 295-316."
10SP02,Lake carbonate,Dolomite,"Northern Basin and Range and Southern Sierra Nevada, USA",38.73 ,-114.94 ,≤2000,52.5,52.5,Paleogene,Ypresian,/,/,4,0.63 ,-4.16 ,,0.666 ,38.60 ,/,0,"Lechler, A.R., Niemi, N.A., Hren, M.T., Lohmann, K.C., 2013. Paleoelevation estimates for the northern and central proto-Basin and Range from carbonate clumped isotope thermometry. Tectonics 32, 295-316."
10SP06,Lake carbonate,Calcite,"Northern Basin and Range and Southern Sierra Nevada, USA",38.74 ,-114.96 ,≤2000,66.1,66.1,Cretaceous,Maastrichtian,/,/,5,4.06 ,-11.23 ,,0.700 ,31.40 ,/,0,"Lechler, A.R., Niemi, N.A., Hren, M.T., Lohmann, K.C., 2013. Paleoelevation estimates for the northern and central proto-Basin and Range from carbonate clumped isotope thermometry. Tectonics 32, 295-316."
BU1-1,stalagmite,Calcite,Rhenish Slate Mountains(Germany),51.22 ,7.40 ,low elevation,modern,0,Quaternary,Holocene,15–19,,5,,-5.59 ± 0.01,0.659 ± 0.007,,,-7.9 ± 0.2,NA,"Kluge, T., Affek, H.P., Marx, T., Aeschbach-Hertig, W., Riechelmann, D.F.C., Scholz, D., Riechelmann, S., Immenhauser, A., Richter, D.K., Fohlmeister, J., Wackerbarth, A., Mangini, A., Spötl, C., 2013. Reconstruction of drip-water &delta;18O based on calcite oxygen and clumped isotopes of speleothems from Bunker Cave (Germany). Clim. Past 9, 377-391."
BU1-2,stalagmite,Calcite,Rhenish Slate Mountains(Germany),51.22 ,7.40 ,low elevation,modern,0,Quaternary,Holocene,52–55,,5,,-5.70 ± 0.06,0.673 ± 0.002,,,-7.7 ± 0.1,NA,"Kluge, T., Affek, H.P., Marx, T., Aeschbach-Hertig, W., Riechelmann, D.F.C., Scholz, D., Riechelmann, S., Immenhauser, A., Richter, D.K., Fohlmeister, J., Wackerbarth, A., Mangini, A., Spötl, C., 2013. Reconstruction of drip-water &delta;18O based on calcite oxygen and clumped isotopes of speleothems from Bunker Cave (Germany). Clim. Past 9, 377-391."
BU1-3,stalagmite,Calcite,Rhenish Slate Mountains(Germany),51.22 ,7.40 ,low elevation,modern,0,Quaternary,Holocene,84–86,,7,,-6.30 ± 0.02,0.670 ± 0.009,,,-8.3 ± 0.2,NA,"Kluge, T., Affek, H.P., Marx, T., Aeschbach-Hertig, W., Riechelmann, D.F.C., Scholz, D., Riechelmann, S., Immenhauser, A., Richter, D.K., Fohlmeister, J., Wackerbarth, A., Mangini, A., Spötl, C., 2013. Reconstruction of drip-water &delta;18O based on calcite oxygen and clumped isotopes of speleothems from Bunker Cave (Germany). Clim. Past 9, 377-391."
