Location,Latitude,Longitude,Paleoaltitude (m),Age (Ma),Evidences for Age,AgeMethod(radiometric / astro / magneto / bio / event / inferred),Sample Type,Carbonate Type,Lab,Scale,O17 correct,Reaction T (°C),Acid Fractionation,Calibration,Evidences for temperature,Diagenesis,Reference
"Pavilion Lake and Kelly Lake, Canada",51.00N,121.5W,NA,Holocene,,,Lake microbialite,Calcite,UCLA,ARF,N,90,0.092,Ghosh et al. (2006); Dennis et al. (2011),/,0,"Petryshyn, V.A., Lim, D., Laval, B.L., Brady, A., Slater, G., Tripati, A.K., 2015. Reconstruction of limnology and microbialite formation conditions from carbonate clumped isotope thermometry. Geobiology 13, 53-67."
"Montana, USA",47.50N,107W,NA,65.263Ma-67.005Ma,"Stratigraphic studies show that the lithologic contact between the HCF and TUM is nearly coincident (<10 cm) with the K–Pg boundary, supported by the presence of an Ir anomaly and shocked quartz. This contact is inferred to be coeval across the ~8000 km² field area and is used as a proxy for the K–Pg geochronologic datum. Sample elevations were precisely measured using a high-resolution GPS system.",event; inferred,Bivalve,Aragonite,Caltech,ARF,N,90,0.08,Zaarur et al. (2013),"summer T Tobin et al. (2014) suggested that ""Our absolute values are consistent with summer temperatures given the mean annual temperature and seasonality from climate models"" and ""Modern unionids grow primarily during summer months and record a summer average temperature"".",0,"Tobin, T.S., Wilson, G.P., Eiler, J.M., Hartman, J.H., 2014. Environmental change across a terrestrial Cretaceous-Paleogene boundary section in eastern Montana, USA, constrained by carbonate clumped isotope paleothermometry. Geology 42, 351-354."
"Montana, USA",49.00N,112W,"Snell et al. (2014) suggested that ""he North Horn Formation is thought to have been at low elevation during deposition"" and ""...was <200 km west of the shoreline of the Western Interior Seaway (WIS), which is marked by age-equivalent alternating marine/non-marine sedimentary rocks..."".",75Ma,,inferred,Lake carbonate/Paleosol carbonate,Calcite,Caltech,ARF,N,90,0.081,Ghosh et al. (2006); Dennis et al. (2011),"summer T Snell et al. (2014) suggested that ""summer formation appears to be a robust property of lake and soil carbonates in most non-tropical environments studied to-date, and presumably reflects summer algal blooms in lakes and preferential growth of soil carbonate in hot conditions, when soil waters evaporate"".",0,"Snell, K.E., Koch, P.L., Druschke, P., Foreman, B.Z., Eiler, J.M., 2014. High elevation of the ‘Nevadaplano’ during the Late Cretaceous. Earth and Planetary Science Letters 386, 52-63."
"Utah, USA",38.62N,112.52W,"Snell et al. (2014) suggested that ""he North Horn Formation is thought to have been at low elevation during deposition"" and ""...was <200 km west of the shoreline of the Western Interior Seaway (WIS), which is marked by age-equivalent alternating marine/non-marine sedimentary rocks..."".",71.45Ma-75.16Ma,"The lower red bed unit of the North Horn Formation is Late Cretaceous–Eocene in age based on magnetostratigraphy, vertebrate and invertebrate biostratigraphy, and palynomorphs. The established chronologic framework yields sample ages of 75.2–71.4 Ma.",magneto; bio,Paleosol carbonate,Calcite,Caltech,ARF,N,90,0.081,Ghosh et al. (2006); Dennis et al. (2011),"summer T Snell et al. (2014) suggested that ""summer formation appears to be a robust property of lake and soil carbonates in most non-tropical environments studied to-date, and presumably reflects summer algal blooms in lakes and preferential growth of soil carbonate in hot conditions, when soil waters evaporate"".",0,"Snell, K.E., Koch, P.L., Druschke, P., Foreman, B.Z., Eiler, J.M., 2014. High elevation of the ‘Nevadaplano’ during the Late Cretaceous. Earth and Planetary Science Letters 386, 52-63."
"Wyoming and Nebraska, USA",41N-44N,101W-109W,954m-2638m,Holocene,,,Soil carbonate,Calcite,JHU,Caltech/ARF,N,90,0.089,Ghosh et al. (2006); Dennis et al. (2011),,0,"Hough, B.G., Fan, M., Passey, B.H., 2014. Calibration of the clumped isotope geothermometer in soil carbonate in Wyoming and Nebraska, USA: Implications for paleoelevation and paleoclimate reconstruction. Earth and Planetary Science Letters 391, 110-120."
Andes,20.00S,64W-66W,1km-4km,5.3Ma-16.29Ma,"Ages are determined by extrapolations from measured stratigraphic columns within previously dated stratigraphic sections (MacFadden et al., 1990, 1995; Hernández et al., 1999).",inferred,Paleosol carbonate,Calcite,/,Caltech,N,90,/,Ghosh et al. (2006); Dennis et al. (2011),paleosols Summer T,NA,"Garzione, C.N., Auerbach, D.J., Jin-Sook Smith, J., Rosario, J.J., Passey, B.H., Jordan, T.E., Eiler, J.M., 2014. Clumped isotope evidence for diachronous surface cooling of the Altiplano and pulsed surface uplift of the Central Andes. Earth and Planetary Science Letters 393, 173-181."
"Boar's Tusk outcrop, Wyoming, USA",41.97N,109.25W,"Mix et al. (2011) suggested that the Green River Basin was one of ""lakes in Laramide foreland show capture of waters from highlands"".",50Ma-52Ma,The Rife Bed stromatolites are constrained by radiometric ages from adjacent tuff beds: the Rife Tuff (51.30 ± 0.30 Ma) and the overlying Firehole Tuff (50.70 Ma),radiometric,Stromatolite,Calcite,UCLA,ARF,N,90,0.08,Dennis et al. (2011),summer T The results of Franzts et al. (2014) are mostly in agreement with clumped isotope-based summer temperatures of Hyland et al. (2018).,0,"Frantz, C.M., Petryshyn, V.A., Marenco, P.J., Tripati, A., Berelson, W.M., Corsetti, F.A., 2014. Dramatic local environmental change during the Early Eocene Climatic Optimum detected using high resolution chemical analyses of Green River Formation stromatolites. Palaeogeography, Palaeoclimatology, Palaeoecology 405, 1-15."
"Central Rockies, Wyoming, USA",42.55N,107E-108E,1484m-2395m,4Ma-49Ma,"The estimated ages of samples are based on published magnetostratigraphy, radiometric age constraints, and North America Land Mammal Ages (Table 1).",radiometric，magneto ,Sandstone carbonate cement/Paleosol carbonate,Calcite/Dolomite,JHU,ARF,N,90,0.092,Dennis et al. (2011),"Accordin to Figure 4 in Fan et al. (2014), the T(Δ47) are generally consistent with the mean summer air temperature and higher than the mean annual air temperature.",0/1,"Fan, M., Hough, B.G., Passey, B.H., 2014. Middle to late Cenozoic cooling and high topography in the central Rocky Mountains: Constraints from clumped isotope geochemistry. Earth and Planetary Science Letters 408, 35-47."
"Western Great Plains, Nebraska, USA",41.60N,102E-103E,1148m-1428m,6Ma-34Ma,"The estimated ages of samples are based on published magnetostratigraphy, radiometric age constraints, and North America Land Mammal Ages (Table 1).",radiometric，magneto ,Sandstone carbonate cement/Paleosol carbonate,Calcite/Dolomite,JHU,ARF,N,90,0.092,Dennis et al. (2011),"Accordin to Figure 4 in Fan et al. (2014), the T(Δ47) are generally consistent with the mean summer air temperature and higher than the mean annual air temperature.",0/1,"Fan, M., Hough, B.G., Passey, B.H., 2014. Middle to late Cenozoic cooling and high topography in the central Rocky Mountains: Constraints from clumped isotope geochemistry. Earth and Planetary Science Letters 408, 35-47."
"Axhandle Canyon, USA",40.00N,110W,"VanDeVeld et al. (2015) suggested that ""paleoaltimetry estimates suggest that the mean elevation of Lake Flagstaff's catchment in the Sevier Highlands did not exceed 1.5 km. The growing evidence from stable isotope data that Cordilleran elevations were relatively low in the early Paleogene"".",Paleocene-Eocene,"Previously existing age constraints for this section include paleomagnetic stratigraphy (Talling et al., 1994), and early Eocene vertebrate remains recovered in an adjacent canyon from the Flagstaff Formation (Rich and Collinson, 1973)",magneto ，bio,Paleosol carbonate,Dolomite,JHU,Caltech/ARF,N,90,0.081,Ghosh et al. (2006); Guo et al. (2009),"VanDeVelde et al. (2013) suggested that ""Early Paleogene temperatures recorded at this site are considerably warmer than those suggested for the continental interior from alternate proxies, a result that may be partially the result of the clumped isotope temperatures recording warm season soil temperatures, rather than mean annual air temperature"".",0,"VanDeVelde, J.H., Bowen, G.J., Passey, B.H., Bowen, B.B., 2013. Climatic and diagenetic signals in the stable isotope geochemistry of dolomitic paleosols spanning the Paleocene-Eocene boundary. Geochimica et Cosmochimica Acta 109, 254-267."
"Bighorn Basin, USA",45.00N,108W,<2000m,53.0Ma-56.2Ma,We selected a subset of these paleosol carbonate and bivalve samples that ranged in age from 56.7 to 53.0 Ma,inferred,Paleosol carbonate,Calcite,Caltech,Caltech,N,25,0,Ghosh et al. (2006),"Snell et al. (2013) suggested that ""the Δ47 temperatures reflect temperatures during the warmest part of the summer, and are likely ~3–5 °C higher than the WMMT"".",0,"Snell, K.E., Thrasher, B.L., Eiler, J.M., Koch, P.L., Sloan, L.C., Tabor, N.J., 2013. Hot summers in the Bighorn Basin during the early Paleogene. Geology 41, 55-58."
"Arizona, USA",32.58N,110.3W-110.9W,"1105m, 1910m",Holocene,,,Soil carbonate,Calcite,Caltech,Caltech/ARF,N,25,0,Ghosh et al. (2006),Holocene,0,"Quade, J., Eiler, J., Daëron, M., Achyuthan, H., 2013. The clumped isotope geothermometer in soil and paleosol carbonate. Geochimica et Cosmochimica Acta 105, 92-107."
"Jammu, India",32.58N,74.9901E,348m,Holocene,,,Soil carbonate,Calcite,Caltech,Caltech/ARF,N,25,0,Ghosh et al. (2006),Holocene,0,"Quade, J., Eiler, J., Daëron, M., Achyuthan, H., 2013. The clumped isotope geothermometer in soil and paleosol carbonate. Geochimica et Cosmochimica Acta 105, 92-107."
"Punjab, India",33.5N,72.9E,500m,Holocene,,,Soil carbonate,Calcite,Caltech,Caltech/ARF,N,25,0,Ghosh et al. (2006),Holocene,0,"Quade, J., Eiler, J., Daëron, M., Achyuthan, H., 2013. The clumped isotope geothermometer in soil and paleosol carbonate. Geochimica et Cosmochimica Acta 105, 92-107."
"Central Andes, Bolivia",17.00S,67W,4000m,15Ma-28Ma,"The Salla Beds are an upper Oligocene–lower Miocene, 0.5–1 km thick, flat-lying succession of mudstone with lesser sandstone beds that overlie the Oligocene-age Luribay Conglomerate and deformed Paleozoic strata (Fig. 2) (MacFadden et al., 1985; McRae, 1990; Kay et al., 1998). Individual paleosols in the Salla Beds and Upper Salla Beds are typically 1–2 m thick, devoid of sedimentary structures, contain well-developed horizons, and commonly contain pedogenic calcium carbonate nodules (McRae, 1990)", inferred（bio）,Paleosol carbonate,Calcite,Caltech,Caltech,N,90,0,Ghosh et al. (2006),summer T,0,"Leier, A., McQuarrie, N., Garzione, C., Eiler, J., 2013. Stable isotope evidence for multiple pulses of rapid surface uplift in the Central Andes, Bolivia. Earth and Planetary Science Letters 371–372, 49-58."
"Southern Sierra Nevada, USA",38.73N,114.94W,≤2000m,48Ma-66.1Ma,"Molluscan biostratigraphy also constrains the depositional ages of Members C (middle to late Paleocene, approximately 61–55 Ma), D (early Eocene, approximately 55–50 Ma), and E (early to middle Eocene, approximately 50–46 Ma)",bio,Lake carbonate,Calcite/Dolomite,University of Michigan,ARF,N,75,0.067,Dennis et al. (2011),"Lechler et al. (2013) suggested that It is important to note that recent Δ47 studies of modern western U.S. lake carbonates suggest that ""carbonate growth in this region is most frequently limited to the summer when water temperatures and CO2 degassing rates are high"".",0,"Lechler, A.R., Niemi, N.A., Hren, M.T., Lohmann, K.C., 2013. Paleoelevation estimates for the northern and central proto-Basin and Range from carbonate clumped isotope thermometry. Tectonics 32, 295-316."
"Southern Sierra Nevada, USA",35N-36N,116W和117W,≤1500m,14.5Ma-17.7Ma,Radiometric dates from tuffs that bound the pisolite-bearing lacustrine interval constrain lacustrine deposition to 19.6–15.7 Ma；Marine diatoms within the peralic interval indicate a middle Miocene (Langhian foraminfera stage) age of approximately 16–14 Ma for the Bena peralic facies,radiometric；bio,Lake carbonate/Lacustrine pisolite,Calcite,University of Michigan,ARF,N,75,0.067,Dennis et al. (2011),"Lechler et al. (2013) suggested that It is important to note that recent Δ47 studies of modern western U.S. lake carbonates suggest that ""carbonate growth in this region is most frequently limited to the summer when water temperatures and CO2 degassing rates are high"".",0,"Lechler, A.R., Niemi, N.A., Hren, M.T., Lohmann, K.C., 2013. Paleoelevation estimates for the northern and central proto-Basin and Range from carbonate clumped isotope thermometry. Tectonics 32, 295-316."
Rhenish Slate Mountains(Germany),51.22N,7.4E,low elevation,Holocene,,,stalagmite,Calcite,/,Caltech,N,25,0,Ghosh et al. (2006),Holocene,NA,"Kluge, T., Affek, H.P., Marx, T., Aeschbach-Hertig, W., Riechelmann, D.F.C., Scholz, D., Riechelmann, S., Immenhauser, A., Richter, D.K., Fohlmeister, J., Wackerbarth, A., Mangini, A., Spötl, C., 2013. Reconstruction of drip-water &delta;18O based on calcite oxygen and clumped isotopes of speleothems from Bunker Cave (Germany). Clim. Past 9, 377-391."
"Isle of Wight, United Kingdom",50.50N,1W,"Hren et al. (2013) suggested that ""Sediments of the Solent Group were deposited in a coastal plain setting at ∼45–50°N from the Late Eocene through the Early Oligocene"".",32.41Ma-35Ma,"Sediments of the Solent Group were deposited in a coastal plain setting at approximately 45–50°N from the Late Eocene through the Early Oligocene and have never been deeply buried, and nearly all remain unlithified；Fossils from the Hampshire Basin indicate a warm Late Eocene climate with abundant marsh vegetation, palms, fruit-eating mammals, and crocodilians",bio,Gastropod,Aragonite,University of Michigan,ARF,N,75,0.067,Dennis et al. (2011),"Hren et al. (2013) suggested that ""aquatic gastropod Δ47 data are biased by seasonal temperature variation during the period of shell growth"" and ""observations of growth cessation in EOT gastropods indicate these shells dominantly record spring to summer growth"".",0,"Hren, M.T., Sheldon, N.D., Grimes, S.T., Collinson, M.E., Hooker, J.J., Bugler, M., Lohmann, K.C., 2013. Terrestrial cooling in Northern Europe during the Eocene-Oligocene transition. Proceedings of the National Academy of Sciences."
Chinese Loess Plateau at Puxian in Shanxi Province,36.42N,111.47E,1148m,0-LGM,,,Aragonite/Calcite,Calcite/Aragonite,Caltech,Caltech/ARF,N,90,0.08,Ghosh et al. (2006),"our own data show that soil carbonate Δ47-temperatures correlate well with warm-month average temperatures (SI Appendix,Fig. S4)",0,"Eagle, R.A., Risi, C., Mitchell, J.L., Eiler, J.M., Seibt, U., Neelin, J.D., Li, G., Tripati, A.K., 2013. High regional climate sensitivity over continental China constrained by glacial-recent changes in temperature and the hydrological cycle. Proceedings of the National Academy of Sciences."
"Meade County, SD,USA",45.00N,101W-105W,/,73Ma/65Ma,"The upper Cretaceous of the US Western Interior is subdivided into biostratigraphic zones and tied to radiometrically dated ash layers (Cobban et al., 2006) from the Lower Cenomanian (~100 Ma) to nearly the end of the Cretaceous in the Interior Seaway. Samples are from the Baculites compressus ammonite zone (~73.5 Ma) and the Hoploscaphites nebrascensis ammonite zone (~67 Ma), and were collected from the Pierre Shale, Fox Hills and Hell Creek Formations in South Dakota, and the Severn Formation in Maryland.",radiometric；bio,ammonite,Calcite/Aragonite,Harvard University,ARF,N,90,0.081,Dennis et al. (2011),MAT,0/1,"Dennis, K.J., Cochran, J.K., Landman, N.H., Schrag, D.P., 2013. The climate of the Late Cretaceous: New insights from the application of the carbonate clumped isotope thermometer to Western Interior Seaway macrofossil. Earth and Planetary Science Letters 362, 51-65."
"Ellesmere Island, Canada",78.33N,82.25W,low elevation,Pliocene,"Biostratigraphic age control based on first appearances of these species provides an Early Pliocene (4–5 Ma) age for the site (Tedford and Harington, 2003). The age is primarily based on the species Ursus abstrusus that in North America dates from 3.5 to 5 Ma ago and Plesiohipparion that dates between 4 and 5 Ma ago (Tedford and Harington, 2003)",bio,freshwater molluscs ,aragonite,Caltech,Caltech,N,90,/,Unknown,Summer T,NA,"Csank, A.Z., Tripati, A.K., Patterson, W.P., Eagle, R.A., Rybczynski, N., Ballantyne, A.P., Eiler, J.M., 2011. Estimates of Arctic land surface temperatures during the early Pliocene from two novel proxies. Earth and Planetary Science Letters 304, 291-299."
"Mojave Desert, California, USA",34.42N,116.789W,982m,Quaternary,,,Soil carbonate,Calcite,Caltech,Caltech,N,90,0.081,Ghosh et al. (2006),"Holocene,Summer T ",0,"Passey, B.H., Levin, N.E., Cerling, T.E., Brown, F.H., Eiler, J.M., 2010. High-temperature environments of human evolution in East Africa based on bond ordering in paleosol carbonates. Proceedings of the National Academy of Sciences 107, 11245-11249."
"Damiao, Inner Mongolia, China",45.01N,111.57E,1306m,Quaternary,,,Soil carbonate,Calcite,Caltech,Caltech,N,90,0.081,Ghosh et al. (2006),"Holocene,Summer T ",0,"Passey, B.H., Levin, N.E., Cerling, T.E., Brown, F.H., Eiler, J.M., 2010. High-temperature environments of human evolution in East Africa based on bond ordering in paleosol carbonates. Proceedings of the National Academy of Sciences 107, 11245-11249."
"Masai Mara, Kenya",1.50S,35.02E,1477m,Quaternary,,,Soil carbonate,Calcite,Caltech,Caltech,N,90,0.081,Ghosh et al. (2006),MAT,0,"Passey, B.H., Levin, N.E., Cerling, T.E., Brown, F.H., Eiler, J.M., 2010. High-temperature environments of human evolution in East Africa based on bond ordering in paleosol carbonates. Proceedings of the National Academy of Sciences 107, 11245-11249."
"Colorado, USA",40N,107W,"2552m, 3242m",Modern,,,Lake carbonate,Calcite,Caltech,Caltech,N,25,0,Ghosh et al. (2006),Holocene,0/1,"Huntington, K.W., Wernicke, B.P., Eiler, J.M., 2010. Influence of climate change and uplift on Colorado Plateau paleotemperatures from carbonate clumped isotope thermometry. Tectonics 29, TC3005."
"Utah, USA",39.07N,111.497257W,3093m,Modern,,,Lake carbonate,Calcite,Caltech,Caltech,N,25,0,Ghosh et al. (2006),Holocene,0/1,"Huntington, K.W., Wernicke, B.P., Eiler, J.M., 2010. Influence of climate change and uplift on Colorado Plateau paleotemperatures from carbonate clumped isotope thermometry. Tectonics 29, TC3005."
"Nevada, USA",36.30N,114.41845W,372m,Modern,,,Lake carbonate,Calcite,Caltech,Caltech,N,25,0,Ghosh et al. (2006),Holocene,0/1,"Huntington, K.W., Wernicke, B.P., Eiler, J.M., 2010. Influence of climate change and uplift on Colorado Plateau paleotemperatures from carbonate clumped isotope thermometry. Tectonics 29, TC3005."
"California, USA",38N,119W,"1899m, 2058m",Modern,,,Lake carbonate,Calcite,Caltech,Caltech,N,25,0,Ghosh et al. (2006),Holocene,0/1,"Huntington, K.W., Wernicke, B.P., Eiler, J.M., 2010. Influence of climate change and uplift on Colorado Plateau paleotemperatures from carbonate clumped isotope thermometry. Tectonics 29, TC3005."
Bolivian Altiplano ,17.60S,68.2W,"(Table 1) with the contours of expected midMiocene seasonal variation in temperature and d18O of meteoric water (Fig. 1) yields the following paleoaltitude estimates (Fig. 2): –200 T 200 m between 11.4 and 10.3 Ma, 2500 T 500 m between 7.6 and 7.3 Ma, and 3500 T 400 between 6.7 and 5.8 Ma",5.83Ma-11.42Ma,The ages of the paleosols we studied vary between 11.4 and 5.8 million years Eas con- strained by magnetostratigraphy and 40Ar/39Ar dates of volcanic rocks within the section,radiometric,Paleosol carbonate,Calcite,Caltech,Caltech,N,,0,Ghosh et al. (2006),Summer,0/1,"Ghosh, P., Garzione, C.N., Eiler, J.M., 2006. Rapid Uplift of the Altiplano Revealed Through 13C-18O Bonds in Paleosol Carbonates. Science 311, 511-515."
"Jiyuan,Zigui,Sichuan,China",31N-35N,105W-112W,low elevation we collected paleosol carbonates from three non-intermontane basins with low paleoelevations during the Middle Jurassic ,late Middle Jurassic,"In the Sichuan Basin, carbonate nodules were collected from the Qianfoya, Shaximiao, Suining, and Lianhuakou Formations. Based on sporopollenin and bivalve assemblages, the Qianfoya Formation is Aalenian–Bajocian in age, and the Shaximiao Formation is Bathonian–Callovian (Meng et al., 2005; Deng et al., 2017). Previous biostratigraphic studies indicate that the Suining Formation is Oxfordian, and the Lianhuakou Formation is Kimmeridgian (Deng et al., 2017). In the Zigui Basin, carbonate nodules were collected from the Qianfoya, Shaximiao, and Penglaizhen Formations. Biostratigraphic constraints indicate that the Qianfoya Formation is Aalenian–Bajocian, and the Shaximiao Formation is Bathonian–Callovian, temporally comparable to the same units in the Sichuan Basin. The Penglaizhen Formation has been proposed as Kimmeridgian, making it contemporaneous with the Lianhuakou Formation in the Sichuan Basin (Dai et al., 2022; Deng et al., 2017). In the Jiyuan Basin, carbonate nodules were collected from the Anyao, Yangshuzhuang, and Ma’ao Formations. The Anyao Formation is Toarcian in age (Yang et al., 2014; Deng et al., 2017). Based on bivalve assemblages of Unio–Margaritifera–Yananoconcha–Ferganoconcha, the Yangshuzhuang Formation is Aalenian–Bajocian (Huang, 2019), and based on ostracod assemblages of Timiriasevia–Darwinula, the Ma’ao Formation is Bathonian–Callovian (Yang et al., 2014; Deng et al., 2017)",bio,Paleosol carbonate,Calcite,"the University of Washington (Seattle, USA)",ARF,N,90,0.088,Kelson et al. (2017); Petersen et al. (2019); Anderson et al. (2021),MATWe therefore interpret our Jurassic T(Δ47) values of 25 ± 5 ◦C to 37 ± 6 ◦C from the NL nodules to represent terrestrial mean annual temperatures,0/1,"Jin, T., Huntington, K.W., Wen, Y., Gu, X., Schauer, A.J., Zhang, L., 2024. Clumped isotope records of terrestrial temperatures during the Middle Jurassic (180-150 Ma) in East China. Palaeogeography Palaeoclimatology Palaeoecology 637."
western interior basin，USA,37N-47N,108W和113W,low elevation,72Ma-77Ma,Judith River Formation (75.4–74.5 Ma)、Two Medicine Formation (77.5–74.3 Ma)、Kaiparowits Formation (~76.6–74.5 Ma)、Fruitland Formation (75.5–74.5 Ma)，Kirtland Formation (75–72.8 Ma)，Dinosaur Park Formation (75 Ma)，Mesaverde Formation (80–75.4 Ma), inferred,shell,Calcite,University of Michigan Stable Isotope Laboratory,ARF,Y,70,0.088,Anderson et al. (2021),Summer TThe temperatures we report here are therefore expected to be similarly skewed to the warmest months of the year.,0/1,"Curley, A.N., Petersen, S., Fricke, H., Gleason, J., 2025. Insight into climate and hydrology of the late cretaceous western interior basin from clumped isotope Paleothermometry and strontium isotopes. Earth and Planetary Science Letters 651."
western interior basin，USA,35N-44.6N,/,low elevation,mid-Cretaceous,"The regional biostratigraphy of the oysters constrains the range of Exogyra trigeri and Pycnodonte kellumi to the mid-late Cenomanian, prior to OAE2. The P. kellumi lineage progressed to P. newberryi, with P. kellumi occurring first in the Middle to earliest Late Cenomanian and P. newberryi following, through the lower OAE2 interval in the latest Cenomanian (Hook and Cobban, 1977; Kauffman et al., 1993).",bio,shell,Calcite,University of Michigan,ARF,Y,90,0.088,Anderson et al. (2021),"The type of temperature recorded by bivalves: seasonal temperature difference (MART), not a single seasonal or annual average.",NA,"Hoffman, J.J., Petersen, S.V., Jones, M.M., 2025. Traditional and clumped isotope oyster sclerochronology: Implications for sub-annual temperature and water chemistry variation in the Western Interior Seaway during the mid-Cretaceous Thermal Maximum. Palaeogeography, Palaeoclimatology, Palaeoecology 664, 112778-112778."
"Luolong Basin,central Tibet,China",31.00N,96E,<1000m,54Ma,"Two sandstone samples (21TY231, 21TY281) collected from the lowest part of the Jiuxiu section and the Mopola section are used to constrain the maximum depositional age of the Buxu Formation. The three youngest zircons from sample 21TY231 yield a weighted mean age of 46.5 ± 1.0 Ma, whereas the two youngest zircons from sample 21TY281 represent 47.3 ± 1.0 Ma. In addition, two limestone samples (21TY222, 22TL025) were collected from the upper part of the Mopola section. The Tera-Wasserburg Concordia diagrams yield lower intercept ages of 54.0 ± 11.0 Ma and 49.5 ± 5.5 Ma, respectively. Consequently, the depositional age of the Buxu Formation can be constrained to the early Eocene, ranging from 54 Ma to 46 Ma；Two tuff samples (22TL041, 21TY125) collected from the Meiduo Formation at the Jiuxiu section yield Concordia ages of 44.1 ± 0.2 Ma and 43.7 ± 0.6 Ma, respectively. Another tuff sample (21TY103) collected from the Meiduo Formation at the Wahe section yields a Concordia age of 44.1 ± 0.5 Ma. Three concordant ages suggest that the depositional age of the Meiduo Formation is ~44−43 Ma.",radiometric,limestone,Calcite,TPESER,ARF,Y,90,0.088,Anderson et al. (2021),ST（personal interpretation）,0,"Zhao, C., Ding, L., Xiong, Z., Spicer, R.A., Cai, F., He, S., Wang, C., Ding, W., Li, J., Wang, H., Yin, Z., Xu, X., Xie, J., Yue, Y., Zeng, D., Kaveh-Firouz, A., 2025. The raising and westward expansion of central Tibet. National Science Review."
central Australia,29S-33S,121E-140E,low elevation,modern,,,shell,Aragonite,University of Adelaide,ARF,Y,70,,Anderson et al. (2021),MAT,0,"Nixon, F.C., Tyler, J.J., Klaebe, R.M., Priestley, S.C., Hua, Q., Arnold, L.J., Cohen, T.J., 2025. Temperature and hydrological change in central Australia through the last glacial cycle: Insights from clumped isotope analysis of lacustrine molluscs. Quaternary Science Reviews 350."
"south-central Lauca Basin,Chile",18.35S,69.9W,~4000m,3.3Ma-6.6Ma,Two additional samples were taken for zircon U–Pb geochronology: one from a tuffaceous sandstone unit located 34–39 m from the base of the Bridge Section and the other from the overlying Lauca Ignimbrite (Fig. 2a),radiometric,Lake carbonate,Calcite,"University
of California Los Angeles(90)/University of Arizona(70)",ARF,N,90/70,,Bernasconi et al. (2018),MAT,"0，In addition, the carbonate clumped isotope temperatures are reasonable for surface conditions, suggesting that burial diagenesis was unlikely to have altered the isotopic composition of these samples.","Mentzer, C., Garzione, C., Jaramillo, C., Hinojosa, L.F., Escobar, J., Glade, N., Gomez, S., Upadhyay, D., Tripati, A., Thirumalai, K., 2025. Late Miocene-early Pliocene hydroclimate evolution of the western Altiplano, northern Chile: Implications for aridification trends under warming climate conditions. Global and Planetary Change 245."
"San Luis Valley, Southern Rocky Mountains, USA",36N-37N,105W,~2000m,Holocene,,,Pedogenic calcite pendant,Calcite,University of Washington (UW) IsoLab,ARF,Y,90,0,Anderson et al. (2021),MAT,0,"Hudson, A.M., Kelson, J.R., Paces, J.B., Ruleman, C.A., Huntington, K.W., Schauer, A.J., 2024. Clumped Isotopes Record a Glacial-Interglacial Shift in Seasonality of Soil Carbonate Accumulation in the San Luis Valley, Southern Rocky Mountains, USA. Geochemistry Geophysics Geosystems 25."
"Loess plateau,China",34.5N-35.7N,109E,low elevation,Holocene,,,Soil carbonate,Calcite,Caltech,ARF,Y,90,0,Bonifacie et al. (2017),Summer T ,0,"Dong, J., Eiler, J., An, Z., Wu, N., Liu, W., Li, X., Kitchen, N., Lu, F., 2020. Clumped and stable isotopes of land snail shells on the Chinese Loess Plateau and their climatic implications. Chemical Geology 533."
Peruvian Andes,11.00S,76W,4000m,Holocene,,,Lake carbonate,Calcite,University of Michigan (UM),ARF,Y,90,0.088,Anderson et al. (2021); Petersen et al. (2019),"Holocene,MAT",0,"Katz, S.A., Levin, N.E., Abbott, M.B., Rodbell, D.T., Passey, B.H., DeLuca, N.M., Larsen, D.J., Woods, A., 2024. Holocene Temperature and Water Stress in the Peruvian Andes: Insights From Lake Carbonate Clumped and Triple Oxygen Isotopes. Paleoceanography and Paleoclimatology 39."
Pyrenees at Olsón (Spain),42.27N,0.13E,,40Ma-39Ma,"The age model used in this study is based on the magnetostratigraphic framework, involving high- and intermediate-quality samples, of the Escanilla Fm by Vinyoles et al. (2020) (Fig. 1e). All data are presented relative to the thickness of the sampled Olsón section accompanied by the local magnetostratigraphic interpretation of Vinyoles et al. (2020), linearly scaled to the GPTS 2020",magneto,Stromatolites/Carbonate Nodules,Calcite,IDYSTUNIL laboratories,ARF,Y,70,0.088,Anderson et al. (2021),ST（personal interpretation）,"0For preliminary data, such as those presented here, the mean value could be considered as a good temperature estimate.","Sharma, N., Spangenberg, J.E., Adatte, T., Vennemann, T., Kocsis, L., Vérité, J., Valero, L., Castelltort, S., 2024. Middle Eocene Climatic Optimum (MECO) and its imprint in the continental Escanilla Formation, Spain. Climate of the Past 20, 935-949."
the west of the Pamir Mountains,38.40N,70E,"~1400m:These gradients are controlled by altitude, which influences the local climate (mean temperature and δ18Oprec; global mean lapse rate of~ 0.28‰/100 m",modern,,,soil nodule,Calcite,HUN-REN Institute for Nuclear Research (ATOMKI),ARF,Y,70,0,Anderson et al. (2021),"Summer T At the three sites, soil carbonate clumped isotope temperatures (T47SC) mainly follow the indicating a warm season bias in carbonate formation.",0,"Újvári, G., Schneider, R., Stevens, T., Rinyu, L., Kiss, G.I., Buylaert, J.P., Murray, A.S., Challier, A.J.M., Kurbanov, R., Khormali, F., Benedek, J., Temovski, M., Vargas, D., Palcsu, L., 2024. Absolute 230Th/U chronologies and Δ47 thermometry paleoclimate reconstruction from soil carbonates in Central Asian loess over the past 1 million years. Geochimica et Cosmochimica Acta 386, 110-126."
