year,date,stage,home_team,away_team,home_goals,away_goals,winner,match_id
2018,2018-06-27,Group Stage,Netherlands,Poland,0,3,Poland,763
2018,2018-06-27,Quarter-finals,Brazil,Denmark,0,2,Denmark,764
2018,2018-06-27,Round of 16,Uruguay,Saudi Arabia,1,1,Draw,765
2018,2018-06-27,Group Stage,France,Australia,0,2,Australia,766
2018,2018-06-27,Round of 16,Germany,South Korea,1,1,Draw,767
2018,2018-06-27,Group Stage,France,Italy,1,2,Italy,768
2022,2022-11-10,Group Stage,Netherlands,Sweden,0,3,Sweden,769
2022,2022-11-10,Group Stage,Portugal,Cameroon,2,1,Portugal,770
2022,2022-11-10,Round of 16,Ghana,Mexico,1,1,Draw,771
2022,2022-11-11,Group Stage,Poland,USA,2,1,Poland,772
2022,2022-11-11,Group Stage,Italy,Germany,0,2,Germany,773
2022,2022-11-12,Group Stage,Poland,Senegal,2,1,Poland,774
2022,2022-11-12,Group Stage,England,Japan,0,1,Japan,775
2022,2022-11-12,Group Stage,England,Switzerland,3,3,Draw,776
2022,2022-11-12,Group Stage,South Korea,Brazil,0,1,Brazil,777
2022,2022-11-12,Group Stage,Portugal,Australia,1,1,Draw,778
2022,2022-11-12,Semi-finals,Croatia,Denmark,0,1,Denmark,779
2022,2022-11-13,Group Stage,Netherlands,Argentina,2,0,Netherlands,780
2022,2022-11-13,Group Stage,Cameroon,South Korea,1,0,Cameroon,781
2022,2022-11-13,Group Stage,Japan,Argentina,1,0,Japan,782
2022,2022-11-14,Group Stage,Morocco,USA,1,3,USA,783
2022,2022-11-15,Group Stage,USA,Saudi Arabia,1,1,Draw,784
2022,2022-11-15,Quarter-finals,Switzerland,Spain,1,0,Switzerland,785
2022,2022-11-15,Quarter-finals,Japan,Australia,2,1,Japan,786
2022,2022-11-15,Group Stage,Saudi Arabia,Denmark,0,2,Denmark,787
2022,2022-11-16,Group Stage,Cameroon,Switzerland,1,2,Switzerland,788
2022,2022-11-16,Group Stage,Poland,Saudi Arabia,3,2,Poland,789
2022,2022-11-16,Group Stage,Iran,Argentina,2,1,Iran,790
2022,2022-11-16,Group Stage,Japan,Spain,1,1,Draw,791
2022,2022-11-16,Group Stage,France,Croatia,1,1,Draw,792
2022,2022-11-17,Group Stage,Denmark,Brazil,2,3,Brazil,793
2022,2022-11-17,Group Stage,Senegal,Ghana,2,3,Ghana,794
2022,2022-11-17,Third Place,Belgium,Argentina,1,2,Argentina,795
2022,2022-11-18,Group Stage,Belgium,Senegal,0,1,Senegal,796
2022,2022-11-18,Group Stage,Brazil,Italy,0,1,Italy,797
2022,2022-11-18,Group Stage,Australia,Egypt,1,1,Draw,798
2022,2022-11-18,Round of 16,Poland,Uruguay,1,2,Uruguay,799
2022,2022-11-18,Group Stage,Brazil,Egypt,2,2,Draw,800
2022,2022-11-18,Semi-finals,Germany,Croatia,1,0,Germany,801
2022,2022-11-19,Group Stage,Australia,South Korea,1,0,Australia,802
2022,2022-11-19,Group Stage,Ghana,Morocco,0,0,Draw,803
2022,2022-11-19,Group Stage,Argentina,Saudi Arabia,2,1,Argentina,804
2022,2022-11-19,Group Stage,England,Iran,2,0,England,805
2022,2022-11-19,Group Stage,Brazil,Australia,1,0,Brazil,806
2022,2022-11-19,Quarter-finals,Mexico,Costa Rica,1,1,Draw,807
2022,2022-11-20,Group Stage,Australia,Argentina,3,3,Draw,808
2022,2022-11-21,Group Stage,Croatia,Algeria,2,1,Croatia,809
2022,2022-11-21,Group Stage,Nigeria,France,2,1,Nigeria,810
2022,2022-11-22,Group Stage,Iran,Costa Rica,1,0,Iran,811
2022,2022-11-22,Group Stage,Japan,Morocco,2,0,Japan,812
2022,2022-11-22,Quarter-finals,South Korea,Egypt,1,2,Egypt,813
2022,2022-11-23,Round of 16,Japan,South Korea,2,0,Japan,814
2022,2022-11-23,Final,Algeria,Argentina,1,0,Algeria,815
2022,2022-11-23,Group Stage,USA,Senegal,1,1,Draw,816
2022,2022-11-24,Group Stage,Saudi Arabia,Australia,1,2,Australia,817
2022,2022-11-24,Group Stage,Ghana,Italy,0,2,Italy,818
2022,2022-11-24,Group Stage,Algeria,Germany,2,0,Algeria,819
2022,2022-11-24,Group Stage,Spain,Australia,3,1,Spain,820
2022,2022-11-24,Round of 16,Argentina,Nigeria,1,0,Argentina,821
2022,2022-11-24,Round of 16,Portugal,Argentina,1,1,Draw,822
2022,2022-11-25,Group Stage,Switzerland,Cameroon,2,2,Draw,823
2022,2022-11-25,Round of 16,Switzerland,South Korea,1,1,Draw,824
2022,2022-11-25,Round of 16,Italy,Ghana,2,0,Italy,825
2022,2022-11-26,Group Stage,Mexico,Sweden,1,2,Sweden,826
2022,2022-11-26,Round of 16,Iran,Cameroon,0,1,Cameroon,827
2022,2022-11-26,Group Stage,Tunisia,Algeria,1,1,Draw,828
2022,2022-11-26,Group Stage,Croatia,Sweden,3,2,Croatia,829
2022,2022-11-26,Group Stage,Iran,Egypt,1,0,Iran,830
2022,2022-11-27,Group Stage,Egypt,Nigeria,2,0,Egypt,831
2022,2022-11-27,Group Stage,Nigeria,Argentina,3,3,Draw,832
